VPS 3.5 - List (VPX tables Only) -- Last updated: 09-02-2020	You can download this sheet for Personal Usage and use the Checkboxes to see which table(s) you do (or don't) have and leave Comments or Notes for yourself.								
Table Name (Manufacturer Year)	Feature(s) Description(s), comment(s) or extra information	Type 	VP Version	Table Author(s)	Table Version	Table Date	Needed ROM Name	Checkbox 	Comments or Notes 
Aladdin's Castle (Bally 1976)		EM	VPX	Dozer, Mjr	1.01	16-05-2018		FALSE	
Alfred Hitchcock's Psycho (Original 2019)	Retheme of JPSala's Vortex (Taito do Brasil 1983)	SS	VPX	Ivantba, JPSalas	1.0	11-08-2019	vortex	FALSE	
Algar (Williams 1980)		SS	VPX	Thalamus, Kalavera, Practisedummy, UncleWilly, LuvThatApex, Kristian, Batch, Flupper, GtxJoe, Bord, Dark, Fren, HauntFreaks, Stat	1.2.2	01-11-2018	algar_l1	FALSE	
Ali (Stern 1980)		SS	VPX	JPSalas, Arngrim	1.0.1	28-06-2017	ali	FALSE	
Alien Poker (Williams 1980)		SS	VPX	JPSalas, Akiles50000	1.0.1	29-12-2017	alpok_l6	FALSE	
Alien Star (Gottlieb 1984)		SS	VPX	BorgDog, HauntFreaks, Wildman	0.96	12-06-2018	alienstr	FALSE	
Alien Trilogy (Original 2019)	Retheme of Berzerk The Pinball Game (Original 2016)	SS	VPX	Ivantba, Lodger	1.0	12-02-2019		FALSE	
Alive (Brunswick 1978)	Lighting and physics MOD	SS	VPX	HSM, Roccodimarco	1.0	10-01-2020		FALSE	
Alive (Brunswick 1978)		SS	VPX	Roccodimarco, Wrenchien, HauntFreaks, Dboyrecords, Stat, Borgdog, Itchigo, Scottacus	0.0.3	01-06-2018		FALSE	
Alley Cats (Williams 1985)	Arcade - Bowler	SS	VPX	Rascal	1.1	16-09-2019	alcat_l7	FALSE	
Amazon Hunt (Gottlieb 1983)		SS	VPX	Batch, JPSalas, 32assassin, Arngrim, Kds70, HauntFreaks, Thalamus	1.6	16-02-2019	amazonh	FALSE	
America's Most Haunted (Spooky Pinball 2014)	Read the Installation instructions on the table downloadpage and download the files mentioned in steps 1 - 7	SS	VPX	Freneticamnesic, Shoopity, UltraPeepi, Arngrim, Knorr, Ben Heckendorn	062718a	04-04-2019		FALSE	
Animal (Original 2017)	Reskin of Galaxy Play (CIC Play 1986)	SS	VPX	Hursty	1.0	04-09-2018	glxplay	FALSE	
Apache! (Taito do Brasil 1978)		EM	VPX	JPSalas, Editoy, Loserman76, Xenonph, Tio Italo, Carlos Guizzo, Luiz Culik, Marcio Urso	2.0.0	13-12-2019		FALSE	
Apache! (Taito do Brasil 1978)		EM	VPX	Editoy, Loserman76, Xenonph, Tio Italo, JPSalas, Carlos Guizzo, Luiz Culik, Marcio Urso	1.0	30-10-2018		FALSE	
Aqualand (Juegos Populares 1986)		SS	VPX	Hmueck	1.0	24-12-2015	aqualand	FALSE	
Aquarius (Gottlieb 1970)		EM	VPX	Loserman76, GNance, Arngrim	1.0a	14-03-2018		FALSE	
Aristocrat (Williams 1979)	Arcade - Bowler	SS	VPX	Rascal	1.1	25-09-2019	arist_l1	FALSE	
Aspen (Brunswick 1979)		SS	VPX	Updon	1.3a	20-01-2017		FALSE	
Asteroid Annie and the Aliens (Gottlieb 1980)		SS	VPX	BorgDog, HauntFreaks	1.1	08-03-2017	astannie	FALSE	
Asteroids (Original 2016)		SS	VPX	TheGhost787	1.0	03-12-2016		FALSE	
Astral Defender (Original 2018)		SS	VPX	Ronimhoff	1.0	10-02-2018		FALSE	
Astro (Gottlieb 1971)		EM	VPX	BorgDog	1.2	25-05-2016		FALSE	
Atlantis (Bally 1989)		SS	VPX	Herweh, Schreibi34, 32assassin, OldSkoolGamer, Cosmic80, ICPjugglah, DCrosby, Bord, Rosve, Vogliadicane, Flupper, Ninuzzu, Dark, nFozzy, DJRobX, Rothbauerw, Thalamus	1.1	16-08-2019	atlantis	FALSE	
Atlantis (Gottlieb 1975)		EM	VPX	Loserman76, BodyDump, GNance, Arngrim, JPSalas, Pinuck, HauntFreaks, BorgDog	1.0c	11-08-2019		FALSE	
Atleta (Inder 1991)		SS	VPX	Hmueck	1.0	26-12-2015	atleta	FALSE	
Attack and Revenge from Mars (Original 2015)		SS	VPX	JPSalas	2.0.1	04-01-2020	afm_113	FALSE	
Attack from Mars (Bally 1995)	Cyberpez Version - MOD of Dozer's Version	SS	VPX	Cyberpez, JPSalas, Dozer, Wrd1972, Rothbauerw, HauntFreaks, ClarkKent, Randr, Flupper, DJRobX, RustyCarcores, nFozzy, The Loafer, Arngrim, TheMotherBrain	1.0	18-01-2019	afm_113b	FALSE	
Attack from Mars (Bally 1995)	Bigus MOD	SS	VPX	Bigus1, JPSalas, Arngrim	1.0	04-08-2019	afm_113b	FALSE	
Attack from Mars (Bally 1995)	Groni Version	SS	VPX	Groni	1.0	31-01-2016	afm_113b	FALSE	
Attack from Mars (Bally 1995)	dB2SDeskTop ColorDMD MOD	SS	VPX	Xenonph, Dozer, JPSalas, Cyberpez, ICPJuggla, HauntFreaks	1.0	16-11-2017	afm_113b	FALSE	
Attack from Mars (Bally 1995)	G5k Version	SS	VPX	G5k, DJRobX, Tom Tower, JimmyFingers, Arrie, Virriguy, CK, Peter Docter	1.1	07-06-2019	afm_113b	FALSE	
Attack from Mars (Bally 1995)	Dozer Version	SS	VPX	Dozer, ICP Juggla, Hauntfreaks	1.0	16-01-2016	afm_113b	FALSE	
Attack from Mars (Bally 1995)	JPSalas Version	SS	VPX	JPSalas, Arngrim	2.0.1	04-01-2020	afm_113b	FALSE	
