VPS 3.5 - List (VPX tables Only) -- Last updated: 09-02-2020	You can download this sheet for Personal Usage and use the Checkboxes to see which table(s) you do (or don't) have and leave Comments or Notes for yourself.								
Table Name (Manufacturer Year)	Feature(s) Description(s), comment(s) or extra information	Type 	VP Version	Table Author(s)	Table Version	Table Date	Needed ROM Name	Checkbox 	Comments or Notes 
Buck Rogers (Gottlieb 1980)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, BorgDog, HauntFreaks, Xenonph	1.11a FSS Rev. R2.5	16-11-2018	buckrgrs	FALSE	
Buck Rogers (Gottlieb 1980)		SS	VPX	BorgDog, HauntFreaks	1.21	27-02-2017	buckrgrs	FALSE	
Buck Rogers (Gottlieb 1980)	Sound MOD	SS	VPX	Xenonph, BorgDog, HauntFreaks, Sindbad, Allknowing2012, Gtxjoe, Djrobx, Stat, nFozzy, Scottacus, Slydog43	1.11a	01-11-2017	buckrgrs	FALSE	
Buckaroo (Gottlieb 1965)		EM	VPX	Loserman76, GNance, Arngrim, JPSalas, Pinuck, HauntFreaks, BorgDog	1.0b	28-03-2018		FALSE	
Bugs Bunny's Birthday Ball (Bally 1991)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Wrd1972	2.1 FSS Rev. R2.5	13-01-2019	bbnny_l2	FALSE	
Bugs Bunny's Birthday Ball (Bally 1991)		SS	VPX	Wrd1972, Cyberpez, Rothbauerw, Nfozzy, Flupper, DJRobX, Bord, Bodydump	2.1	02-12-2018	bbnny_l2	FALSE	
Bumper (Bill Port 1977)		EM	VPX	JPSalas, Akiles50000, Loserman76, Kiwi	1.0.0	27-04-2019		FALSE	
Bumper Pool (Gottlieb 1969)		EM	VPX	Loserman76	1.0	28-04-2019		FALSE	
Cabaret (Williams 1968)		EM	VPX	Drybonz, HauntFreaks, Kees, Loserman, BorgDog, Cryptdoctor	1.1	10-10-2016		FALSE	
Cactus Canyon (Bally 1998)		SS	VPX	Ninuzzu, Tom Tower, Clark Kent	2.0	23-01-2018	cc_13	FALSE	
Cactus Canyon - VR Room (Bally 1998)	VR Version, VPVR, VR Room	SS	VPX	Legolas24, Ninuzzu, DJRobX, 3rdaxis, Caligula, Senseless	1.0	28-12-2019	cc_13	FALSE	
Cactus Canyon Continued (Bally 1998)		SS	VPX	Ninuzzu, Tom Tower, Clark Kent	2.0	12-01-2020	cc_13	FALSE	
Cactus Jack's (Gottlieb 1991)		SS	VPX	BorgDog, Bodydump, Dark, Bord, Rothbauerw	0.95	02-11-2019	cactjack	FALSE	
Cactus Jack's (Gottlieb 1991)	VP8 to VPX Conversion	SS	VPX	Rascal, PacDude	1.1	25-01-2019	cactjack	FALSE	
Caddie (Playmatic 1975)		EM	VPX	Loserman76, Akiles50000, JPSalas	1.0	04-11-2019		FALSE	
Canada Dry (Gottlieb 1976)		EM	VPX	Loserman76, Allknowing2012, GNance, JPSalas, Pinuck, HauntFreaks,BorgDog, Arngrim	1.0a	25-12-2017		FALSE	
Canasta 86 (Inder 1986)		SS	VPX	JPSalas, Carlos Guizzo, Batansa, Adrian, Jose Manuel Lopez, Destruk, Maior, Lighthouse, Akiles50000	1.0.4	17-10-2018	canasta	FALSE	
Cannon Fodder (Original 2018)	Retheme of JPSalas's Papa Smurf (Original 2015)	SS	VPX	Ivantba, JPSalas, Xenonph, BorgDog	1.1	06-11-2018		FALSE	
Capersville (Bally 1966)		EM	VPX	Scottacus, HauntFreaks, BorgDog, Loserman76, Arngrim, Xenonph, Thalamus	3.2.7	23-04-2018		FALSE	
Capt. Card (Gottlieb 1974)	MOD	EM	VPX	Bord, Loserman76, Rothbauerw	1.0	23-08-2019		FALSE	
Capt. Card (Gottlieb 1974)		EM	VPX	Loserman76, GNance, Chris Aguilar, Haunt Freaks, BorgDog, JPSalas, Pinuck, Arngrim	1.0	10-03-2018		FALSE	
Capt. Fantastic and The Brown Dirt Cowboy (Bally 1976)		EM	VPX	Akiles50000, JPSalas, Loserman76, Kiwi	1.2.2	06-01-2019		FALSE	
Capt. Fantastic and The Brown Dirt Cowboy (Bally 1976)		EM	VPX	Dozer, Rosve, Stat, DjRobX	1.2	01-06-2018		FALSE	
Car Hop (Gottlieb 1991)		SS	VPX	32assassin, Bodydump	1.0	26-05-2018	carhop	FALSE	
Card Trix (Gottlieb 1970)		EM	VPX	Loserman76, GNance, HauntFreaks, BorgDog, JPSalas, Pinuck, Arngrim	1.0	10-03-2018		FALSE	
Card Whiz (Gottlieb 1976)		EM	VPX	BorgDog	1.0	15-02-2017		FALSE	
Carnival Queen (Bally 1958)		EM	VPX	Hsm	1.0	06-11-2019		FALSE	
CARtoons (Original 2017)		SS	VPX	HauntFreaks, BorgDog, SliderPoint	2.3	24-11-2017		FALSE	
CARtoons (Original 2017)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, HauntFreaks, BorgDog, SliderPoint	1.0	21-11-2017		FALSE	
Catacomb (Stern 1981)		SS	VPX	Hsm, 32assassin, Mfuegemann, Stat	1.0	26-01-2020	catacomb	FALSE	
Catacomb (Stern 1981)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, 32assassin	0.9 FSS Rev. R2.51	25-12-2018	catacomb	FALSE	
Catacomb (Stern 1981)		SS	VPX	32assassin, Mfuegemann, Stat	.91	15-12-2018	catacomb	FALSE	
Cavalcade (Stoner 1935)		EM	VPX	Mfuegemann	1.0	25-05-2018		FALSE	
Cavaleiro Negro (Taito do Brasil 1981)	Brazilian clone of Black Knight (Williams 1980)	SS	VPX	JPSalas, Destruk, Classic Playfields, Tio Italo, Kruge99, Pmax65	2.0.0	13-12-2019	cavnegro	FALSE	
Caveman (Gottlieb 1982)		SS	VPX	DarthMarino, Rascal, Lovthatapex, Destruk, Wildman, Cyberpez	1.1	03-04-2019	caveman	FALSE	
Caveman (Gottlieb 1982)	VP9 to VPX Conversion	SS	VPX	Rascal, Luvthatapex, Destruk	1.1	25-01-2019	caveman	FALSE	
Centaur (Bally 1981)		SS	VPX	Bord, BorgDog, HauntFreaks, Drybonz, 32assassin, Loafer	1.0.1b	09-05-2018	centaur	FALSE	
Centaur - VR Room (Bally 1981)	VR Version, VPVR, VR Room	SS	VPX	Senseless, Bord, 3rdaxis, Caligula	1.0.2	06-01-2020	centaur	FALSE	
Centigrade 37 (Gottlieb 1977)	FSS (Full Single Screen) MOD	EM	VPX	Arconovum, Bord	1.0 FSS Rev. R.25	14-11-2018		FALSE	
Centigrade 37 (Gottlieb 1977)		EM	VPX	Bord, BorgDog, Pinuck	2.0	20-09-2018		FALSE	
Champ (Bally 1974)		EM	VPX	Kees	1.00	05-06-2018		FALSE	
Champions League - Season 2017 (Original 2017)		SS	VPX	Tom Tower & Ninuzzu	1.4	19-03-2019		FALSE	
Champions League - Season 2018 (Original 2017)		SS	VPX	Tom Tower, Ninuzzu, JPSalas, Shoopity, Flupper, Knorr, UltraPeepi, Arngrim, VPDev Team	1.0	17-12-2017		FALSE	
Champions League - Season 2018 - St. Pauli (Original 2018)	Full Retheme and PinUP MOD of Champions League - Season 2018 (Original 2017)	SS	VPX	BambiPlattfuss, Tom Tower, Ninuzzu, Nailbuster, HauntFreaks, Dids666, Jorg, BambiPlattfuss's wife and daughter	1.0	08-10-2018		FALSE	
Chance (Playmatic 1974)		EM	VPX	JPSalas, Akiles50000, Loserman76, Kiwi, Jose Navarro	1.0.0	10-08-2019		FALSE	
Charlie's Angels (Gottlieb 1978)		SS	VPX	JPSalas, Carlos Guizzo, Inkochnito, Arngrim	1.0.2	23-02-2019	charlies	FALSE	
Check Mate (Taito do Brasil 1977)		EM	VPX	JPSalas, Editoy, Carlos Guizzo, Tio Italo, Stat	2.0.0	13-12-2019		FALSE	
Cheetah (Stern 1980)		SS	VPX	JPSalas, StrangeLeo, Kalavera, Destruk	1.0.1	25-05-2018	cheetah	FALSE	
Chicago Cubs "Triple Play" (Gottlieb 1985)		SS	VPX	32assassin	1.1	02-08-2016	triplay	FALSE	
Child's Play (Original 2017)	Reskin of Fast Draw (Gottlieb 1975)	EM	VPX	Hursty	1.0	04-09-2018		FALSE	
Christmas Pinball (Original 1980)	Conversion of Sexy Girl (Arkon 1980)	SS	VPX	Xenonph, Lizard, Destruk, Mickey, ICPJuggla, GtxJoe, Arngrim, Steely, Pinball Ken, Koadic, JimmyFingers, Rascal, CyberPez, Seraph74, HauntFreaks, JPSalas, Slydog43, Thalamus, Allknowing2001, HiRez000	2.0	11-12-2018	playboy	FALSE	
Circus (Brunswick 1980)		SS	VPX	JPSalas, Redwings13	1.0.0	14-03-2019		FALSE	
Circus (Gottlieb 1980)	VP9 to VPX Conversion	SS	VPX	Rascal, Luvthatapex, Destruk, Inkochnito	1.1	25-01-2019	circus	FALSE	
Circus (Zaccaria 1977)		EM	VPX	Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, Borgdog, Arngrim	1.0afix	27-12-2017		FALSE	
Cirqus Voltaire (Bally 1997)	Knorr Version	SS	VPX	Knorr, ClarkKent, Randr, Dark, JPSalas, Ninuzzu, Flupper, Gigagula, Thalamus, G5k, Toxie, Fuzzel	1.1	26-04-2019	cv_20h	FALSE	
Cirqus Voltaire (Bally 1997)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, JPSalas, Dozer, nFozzy, Ninuzzu	1.0 FSS Rev. R2.5	26-11-2018	cv_20h	FALSE	
Cirqus Voltaire (Bally 1997)	Dozer Version	SS	VPX	Dozer, Ninuzzu, JPSalas	2.1	16-03-2016	cv_20h	FALSE	
Cirqus Voltaire (Bally 1997)	Hanibals 4k MOD	SS	VPX	Hanibal, Dozer	3.6	12-07-2017	cv_20h	FALSE	
Cirqus Voltaire - VR (Bally 1997)	VR Version, VPVR, VR Room	SS	VPX	Blindpeser, Knorr, ClarkKent, Randr, Dark, 3rdaxis, Drhotwing1	1.0	18-11-2019	cv_20h	FALSE	
Cirqus Voltaire Day & Night Scripts for Dozer's and Knorr's tables (Bally 1997)	Day & Night Scripts	SS	VPX	Bassgeige, Hauntfreaks, Rothbauerw		26-07-2019	cv_20h	FALSE	
Clash, The (Original 2018)	Retheme of Rock Encore (Gottlieb 1986)	SS	VPX	Onevox, JPSalas, Xenonph, Thalamus, Schreibi34, Scottywic, Bord, Flupper1, CarnyPriest, Randr	1.3	04-11-2018	clash	FALSE	
Class of 1812 (Gottlieb 1991)		SS	VPX	Ninuzzu, Tom Tower	1.0.0	10-03-2019	clas1812	FALSE	
Cleopatra (Gottlieb 1977)		SS	VPX	32assassin	1.0	29-01-2016	cleoptra	FALSE	
Close Encounters of the Third Kind (Gottlieb 1978)		SS	VPX	BorgDog, nFozzy, Rothbauerw, Ninuzzu, Pinuck	0.999	27-09-2017	closeenc	FALSE	
Clue (Original 2018)		SS	VPX	Fusionwerks, JPSalas, NailBuster, Arngrim, Flupper, ScottyWic, RoccoDiMarco, Thalamus, Xenonph	1.2	28-10-2018		FALSE	
College Queens (Gottlieb 1969)		EM	VPX	Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck, Arngrim	1.0	24-04-2018		FALSE	
Columbia (LTD 1983)		SS	VPX	Mfuegemann, Carlos Guizzo, Joao Pedras, Gaston	1.0	29-12-2019	columbia	FALSE	
Comet (Williams 1985)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Bord	1.01 FSS Rev. R2.51	03-12-2018	comet_l5	FALSE	
Comet (Williams 1985)		SS	VPX	Bord, Randr, Rothbauerw, 32assassin, Flupper	1.0.1	09-05-2018	comet_l5	FALSE	
Comet (Williams 1985)		SS	VPX	SliderPoint, UncleWilly, Grizz, Flupper, HauntFreaks	1.1	22-01-2018	comet_l5	FALSE	
Conan (Rowamet 1983)	Reg MOD (download both files, see instructions on page)	SS	VPX	Xenonph, JPSalas, Batch	1.0a	27-08-2017	rollstob	FALSE	
Concorde (Emagar 1975)		EM	VPX	Loserman76, Akiles50000, JPSalas	1.0	04-11-2019		FALSE	
Congo (Williams 1995)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, NFozzy	1.2 FSS Rev. R2.5	14-11-2018	congo_21	FALSE	
Congo (Williams 1995)		SS	VPX	NFozzy, JPSalas, Dark, LoadedWeapon, Knorr, ClarkKent	1.2	01-12-2016	congo_21	FALSE	
Contact (Williams 1978)		SS	VPX	Kalavera3, Destruk, Kristian, Dboyrecords, 32assassins, Bord, JPSalas, Thalamus, Arngrim, ScottyVH	1.2	29-11-2018	cntct_l1	FALSE	
Contest (Gottlieb 1958)		EM	VPX	Jpj, Team PP, Chucky, Arngrim, Ninuzzu, Stefan, HauntFreaks	1.5	22-02-2019		FALSE	
Cool Spot 7UP Pinball (Original 2019)	Retheme of JPSalas's Cosmic Princess (Stern 1979)	SS	VPX	Ivantba, JPSalas	1.0	01-07-2019	princess	FALSE	
Copa Libertadores 2018 (Original 2018)		SS	VPX	Kalavera, Tomás, Tom Tower, Ninuzzu	1.0	14-06-2018		FALSE	
Cosmic (Taito do Brasil 1980)		SS	VPX	JPSalas, Carlos Guizzo, Akiles5000, Pmax65	2.0.0	13-12-2019	cosmic	FALSE	
Cosmic (Taito do Brasil 1980)		SS	VPX	32assassin	1.1	14-10-2017	cosmic	FALSE	
Cosmic Gunfight (Williams 1982)		SS	VPX	32assassin	1.3	19-06-2016	csmic_l1	FALSE	
Cosmic Lady (Original 2018)		SS	VPX	McSquid	0.9	04-12-2018		FALSE	
Cosmic Princess (Stern 1979)		SS	VPX	JPSalas, DedRok_V, Arngrim	1.0.3	07-09-2019	princess	FALSE	
Cosmic Venus (Tilt Movie 1978)		EM	VPX	Loserman76, Ukexpat71, 32assassin 	1.0	03-11-2019		FALSE	
Count-Down (Gottlieb 1979)		SS	VPX	JPSalas, Scapino	1.0.0	17-05-2018	countdwn	FALSE	
Count-Down (Gottlieb 1979)		SS	VPX	32assassin	1.0	20-01-2016	countdwn	FALSE	
Counterforce (Gottlieb 1980)		SS	VPX	Balater	1.00	01-11-2019	cntforce	FALSE	
Counterforce (Gottlieb 1980)	VP9 to VPX Conversion	SS	VPX	Rascal, Luvthatapex, Moonchild, Inkochnito	1.1	25-01-2019	cntforce	FALSE	
Cow Poke (Gottlieb 1965)		EM	VPX	Loserman76, GNance, HauntFreaks, BorgDog, JPSalas, Pinuck, Arngrim, Scorpion	1.0a	01-05-2018		FALSE	
Creature from the Black Lagoon (Bally 1992)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Fuzzel, Flupper1, Rothbauerw, Randr, ClarkKent, HauntFreaks	1.1 FSS Rev. R2.5	13-11-2018	cftbl_l4	FALSE	
Creature from the Black Lagoon (Bally 1992)	Nude MOD	SS	VPX	HauntFreaks, Fuzzel, Flupper1, Rothbauerw, Randr, ClarkKent	1.0	15-02-2018	cftbl_l4	FALSE	
Creature from the Black Lagoon (Bally 1992)		SS	VPX	Fuzzel, Flupper1, Rothbauerw, Randr, ClarkKent, HauntFreaks, Arngrim	1.3	05-04-2019	cftbl_l4	FALSE	
Crescendo (Gottlieb 1970)		EM	VPX	Loserman76, GNance, Noah Fentz, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	1.0a	27-12-2017		FALSE	
Criterium 75 (Recel 1975)		EM	VPX	Editoy, Exegeta, Stat, Loserman, HSM	1.2	26-10-2018		FALSE	
Criterium 77 (Taito do Brasil 1977)		EM	VPX	JPSalas, Halen, Editoy, Carlos Guizzo 	2.0.1	14-12-2019		FALSE	
Criterium 77 (Taito do Brasil 1977)		EM	VPX	Exegeta	1.0	23-07-2017		FALSE	
Cross Town (Gottlieb 1966)		EM	VPX	Bord, Scottacus, Pinsiders	1.0	15-06-2019		FALSE	
Crysis (Original 2018)	Retheme of Flash Gordon (Bally 1981)	SS	VPX	Ivantba, Rothbauerw, Xenonph	1.2	01-02-2019	flashgdn	FALSE	
CSI (Stern 2008)		SS	VPX	Javier, Francisco666, Rom, Gtxjoe, Zany, Dark, 32assassin	1.0.0	23-10-2017	csi_240	FALSE	
CSI - VR Room (Stern 2008)	VR Version, VPVR, VR Room	SS	VPX	Drhotwing1, Javier, Francisco666, Rom, Gtxjoe, Zany, Dark, 32assassin	1.0	07-01-2020	csi_240	FALSE	
Cue Ball Wizard (Gottlieb 1992)		SS	VPX	Bigus1, JPSalas, Rascal, Steely, Pinball Ken, Mario, Jolo, Leo	2.2	23-11-2019	cueball	FALSE	
Cue Ball Wizard (Gottlieb 1992)	VP9 to VPX Conversion	SS	VPX	Rascal, JPSalas, 32assasssin	1.2	25-01-2019	cueball	FALSE	
Cuphead (Original 2019)		EM	VPX	Onevox, Loserman76, BorgDog, Bord, Xenonph, Thalamus, Cyberpez, Jopp	4b	08-10-2019		FALSE	
Cybernaut (Bally 1985)		SS	VPX	Mistermixer, Schreibi34	1.0	10-08-2019	cybrnaut	FALSE	
Cyclone (Williams 1988)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Melons, Sliderpoint, Flupper	1.3 FSS Rev. R2.5	26-11-2018	cycln_l5	FALSE	
Cyclone (Williams 1988)		SS	VPX	Sliderpoint, Melon, Flupper, Wildman, Westworld, HauntFreaks	1.5	22-10-2017	cycln_l5	FALSE	
Cyclone - VR Room (Williams 1988)	VR Version, VPVR, VR Room	SS	VPX	Senseless, Sliderpoint, 3rdaxis, Caligula	1.0	05-01-2020	cycln_l5	FALSE	
Darling (Williams 1973)		EM	VPX	BorgDog, HauntFreaks, Loserman, GNance, Scotty VH	1.1.1	16-02-2018		FALSE	
Deadly Weapon (Gottlieb 1990)		SS	VPX	Schreibi34, Herweh, 32assassin, Bodydump, Kiwi, Destruk, Rothbauerw, Bord, BorgDog, Flupper, Thalamus, Ninuzzu	1.0.2	09-06-2019	deadweap	FALSE	
Deadly Weapon (Gottlieb 1990)		SS	VPX	32assassin	1.0	26-03-2016	deadweap	FALSE	
Dealers Choice (Williams 1974)		EM	VPX	-=Kees=-, Leon Spalding	1.01	20-07-2019		FALSE	
Death Wish 3 (Original 2019)	Retheme of JPSalas's Lost World (Bally 1978)	SS	VPX	Ivantba, JPSalas	1.0	10-12-2019	lostwrld	FALSE	
Defender (Williams 1982)	Bigus MOD	SS	VPX	Bigus1, Gtxjoe, nFozzy, Sindbad	1.1	30-07-2019	dfndr_l4	FALSE	
Defender (Williams 1982)		SS	VPX	Takut, Gtxjoe, nFozzy, Sindbad, Bord	1.0	03-04-2018	dfndr_l4	FALSE	
Defender (Williams 1982)		SS	VPX	32assassin	1.0	12-02-2017	dfndr_l4	FALSE	
Demogorgon (Original 2020)	Stranger Things inspired	SS	VPX	Fastdraw, Granit	1.0	04-01-2020		FALSE	
Demolition Man (Williams 1994)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Knorr, Kiwi	1.2 FSS Rev. R2.51	03-12-2018	dm_lx4	FALSE	
Demolition Man (Williams 1994)		SS	VPX	Knorr, Kiwi, Mjr, Zany, Clark Kent, nFozzy, Flupper	1.3.1	26-07-2018	dm_lx4	FALSE	
Demolition Man - VR Room (Williams 1994)	VR Version, VPVR, VR Room	SS	VPX	Senseless, Knorr, Kiwi	1.0	07-01-2020	dm_lx4	FALSE	
Desert City (Fipermatic 1977)	Brazilian clone of Solar City (Gottlieb 1977)	EM	VPX	Loserman76, Greywolf, GNance, Popotte, Carlos Guizzo	1.0	27-08-2018		FALSE	
Devil's Dare (Gottlieb 1982)		SS	VPX	32assassin, Mfuegemann	1.1	03-10-2016	dvlsdre	FALSE	
Diablo Pinball (Original 2017)		SS	VPX	ScottyWic, JPSalas, Stat, Arngrim	1.0.3 DOF	29-07-2019		FALSE	
Diamond Jack (Gottlieb 1967)		EM	VPX	Loserman76, GNance	1.0	07-04-2019		FALSE	
Diamond Lady (Gottlieb 1988)		SS	VPX	JPSalas, Arngrim	1.0.2	08-10-2017	diamond	FALSE	
Dimension (Gottlieb 1971)		EM	VPX	Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck, Arngrim	1.0	24-04-2018		FALSE	
Dimmu Borgir (Original 2019)	Firepower (Williams 1980) MOD	SS	VPX	Zedixair, Mussinger	1.0	04-10-2019	frpwr_b7	FALSE	
Diner (Williams 1990)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Flupper	1.1 FSS Rev. R2.5	16-11-2018	diner_l4	FALSE	
Diner (Williams 1990)		SS	VPX	Flupper	1.2	20-03-2017	diner_l4	FALSE	
Diner - VR Room (Williams 1990)	VR Version, VPVR, VR Room	SS	VPX	Senseless, Flupper, 3rdaxis, Caligula	1.1	28-01-2020	diner_l4	FALSE	
Dipsy Doodle (Williams 1970)		EM	VPX	Loserman76, Tom, Thalamus, Rosve, Osprey101, Editoy, Wildman	1.0	09-08-2019		FALSE	
Dirty Harry (Williams 1995)		SS	VPX	Knorr	2.0	01-05-2016	dh_lx2	FALSE	
Dirty Harry (Williams 1995)	Shiny MOD	SS	VPX	Flupper, Knorr	2.0	05-05-2016	dh_lx2	FALSE	
Disney Princesses (Original 2016)	MOD	SS	VPX	Rtkiii, Borgdog, Gtxjoe, Sliderpoint	2.3	20-06-2016		FALSE	
Disney's Aladdin (Original 2020)	Retheme of Seawitch (Stern 1980)	SS	VPX	Ivantba, Flash 62	1.0	28-01-2020	seawitch	FALSE	
Doctor Who (Bally 1992)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, oooPlayer1ooo, UncleWilly, SliderPoint, Fuzzel	1.2.2 FSS Rev. R2.5	13-11-2018	dw_l2	FALSE	
Doctor Who (Bally 1992)		SS	VPX	Sliderpoint	1.2.2	09-03-2017	dw_l2	FALSE	
Dogies (Bally 1968)		EM	VPX	Loserman76, Kees	1.0	22-08-2016		FALSE	
Dolly Parton (Bally 1979)		SS	VPX	JPSalas, Lighthouse	1.0.2	22-10-2018	dollyptb	FALSE	
Domino (Gottlieb 1968)		EM	VPX	Loserman76, GNance, Arngrim, JPSalas, Pinuck, HauntFreaks, BorgDog	1.0a	25-12-2017		FALSE	
Doodle Bug (Williams 1971)		EM	VPX	Loserman76, Tom, Thalamus, Rosve, Osprey101, Wildman	1.0	09-08-2019		FALSE	
Doom Classic Edition (Original 2019)	Retheme of JPSalas's Mad Race (Playmatic 1985)	SS	VPX	Ivantba, JPSalas	1.0	07-09-2019	madrace	FALSE	
Double-Up (Bally 1970)		EM	VPX	BorgDog, HauntFreaks, Kruffe99, Bodydump, Mfuegemann, Wrd1972, Pecos, Loserman76, Gnance, Bord, 13gmr	2.01	03-05-2019		FALSE	
Dr. Dude And His Excellent Ray (Bally 1990)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Wrd1972	2.2a FSS Rev. R2.6	04-03-2019	dd_l2	FALSE	
Dr. Dude And His Excellent Ray (Bally 1990)		SS	VPX	Wrd1972, Cyberpez, Rothbauerw, Nfozzy, Flupper, DJRobX, Bord, GtxJoe	2.2	02-12-2018	dd_l2	FALSE	
Dracula (Stern 1979)		SS	VPX	Bord, HauntFreaks, Rothbauerw	2.0	19-10-2019	draculfp	FALSE	
Dragon (Gottlieb 1978)		SS	VPX	BorgDog, HauntFreaks, Bord, Arngrim	1.01	16-01-2019		FALSE	
Dragon Ball Z The Pinball (Original 2019)		SS	VPX	Javier	1.06 DOF	04-01-2020		FALSE	
Drakor (Taito do Brasil 1979)	Brazilian clone of Gorgar (Williams 1979)	SS	VPX	JPSalas, Carlos Guizzo, Tio Italo, Bha19, Pmax65	2.0.0	13-12-2019	drakor	FALSE	
Drakor (Taito do Brasil 1979)	Brazilian clone of Gorgar (Williams 1979)	SS	VPX	Exegeta	1.0	27-11-2017	drakor	FALSE	
Drop-A-Card (Gottlieb 1971)		EM	VPX	Loserman76, GNance, HauntFreaks, BorgDog, JPSalas, Pinuck, Arngrim	1.0	10-03-2018		FALSE	
Dungeons & Dragons (Bally 1987)		SS	VPX	AgentEighty6, Mfuegemann, Sheltemke	1.2.0	03-02-2020		FALSE	
Duotron (Gottlieb 1974)		EM	VPX	Loserman76, GNance, Popotte, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	1.0	25-12-2017		FALSE	
Earthshaker (Williams 1989)		SS	VPX	32assassin, CaptainNeo, Irondragoon, MJR, LoadedWeapon, Zany, Clark Kent	0.9a	31-12-2019	esha_la3	FALSE	
Earthshaker - VR Room (Williams 1989)	VR Version, VPVR, VR Room	SS	VPX	Gear323, 32assassin, 3rdaxis, Caligula	1.0	13-01-2020	esha_la3	FALSE	
Eclipse (Gottlieb 1982)		SS	VPX	BorgDog, IamNaN, HauntFreaks, Bord	1.0	11-12-2018	eclipse	FALSE	
Eddy (Original 2019)	Iron Maiden inspired	SS	VPX	Fastdraw, Granit	1.1	05-11-2019		FALSE	
Egg Head (Gottlieb 1961)		EM	VPX	Loserman76, GNance	1.0b	15-11-2019		FALSE	
Eight Ball (Bally 1977)		SS	VPX	Roccodimarco, 32assassin, HauntFreaks, Popotte, Moogster666	1.1	04-06-2018	eightbll	FALSE	
Eight Ball (Bally 1977)		SS	VPX	JPSalas, Poppotte	2.0.0	04-01-2020	eightbll	FALSE	
Eight Ball Champ (Bally 1985)		SS	VPX	32assassin	1.3	14-11-2017	eballchp	FALSE	
Eight Ball Deluxe (Bally 1981)	Desktop Only	SS	VPX				eballdlx	FALSE	
Eight Ball Deluxe (Bally 1981)	MOD	SS	VPX	Kellogs, Wildman	1.0	21-04-2019	eballdlx	FALSE	
Eight Ball Deluxe (Bally 1981)		SS	VPX	Bord, 32assassin, Manples, TheLoafer, JPSalas, Rothbauerw, BorgDog	1.0.1	02-12-2017	eballdlx	FALSE	
Eight Ball Deluxe (Bally 1981)		SS	VPX	32assassin	1.0	12-01-2017	eballdlx	FALSE	
Eight Ball Deluxe (Bally 1981)	Bigus MOD	SS	VPX	Bigus1, 32assassin	1.0	24-09-2019	eballdlx	FALSE	
El Bueno el Feo y el Malo (Original 2015)		SS	VPX	JPSalas, StrangeLeo72, Maboule	1.2.0	22-02-2018	eldorado	FALSE	
El Dorado (Gottlieb 1975)		EM	VPX	Loserman76, GNance, Arngrim, JPSalas, Pinuck, HauntFreaks, BorgDog	1.0b	25-12-2017		FALSE	
El Dorado City of Gold (Gottlieb 1984)		SS	VPX	TheGhost787, 32assassin	1.0	21-01-2017	eldorado	FALSE	
El Dorado City of Gold (Gottlieb 1984)		SS	VPX	Jbg4208	1.2	24-03-2017	eldorado	FALSE	
Electra-Pool (Gottlieb 1965)		EM	VPX	Loserman76, GNance	1.0	27-03-2019		FALSE	
Electric Mayhem (Original 2016)	Conversion of Magic (Stern 1979)	SS	VPX	Lodger	1.0	07-10-2016		FALSE	
Elektra (Bally 1981)		SS	VPX	32assassin	1.1	27-06-2016	elektra	FALSE	
Elf Pinball (Original 2018)		SS	VPX	Stevegooner123, Xenonph	1.01	29-11-2018		FALSE	
Elf Pinball XL (Original 2018)		SS	VPX	Stevegooner123, Xenonph, Lizard	1.01	10-11-2019		FALSE	
Elite Guard (Gottlieb 1968)		EM	VPX	Loserman76, GNance	1.0	08-06-2019		FALSE	
Elvira and the Party Monsters (Bally 1989)	Nude MOD	SS	VPX	HauntFreaks, Calium	2.2	13-03-2018	eatpm_l4	FALSE	
Elvira and the Party Monsters (Bally 1989)		SS	VPX	32assassin, HauntFreaks, Kronofant, Tom Tower, CK, Arngrim	2.3	25-11-2018	eatpm_l4	FALSE	
Elvis (Stern 2004)		SS	VPX	JPSalas, Steve Paradis, Batch, Chokee	1.1.0	29-12-2018	elvis	FALSE	
Elvis (Stern 2004)		SS	VPX	Chokee, JPsalas, DjRobX, Flupper1, Tom Tower, HauntFreaks, Dids666	1.0	06-04-2018	elvis	FALSE	
Elvis - VR Room (Stern 2004)	VR Version, VPVR, VR Room	SS	VPX	Senseless, JPSalas, Chokeee, 3rdaxis, Caligula	1.1	19-01-2020	elvis	FALSE	
