VPS 3.5 - List (VPX tables Only) -- Last updated: 0	You can download this sheet for Personal Usage and use the Checkboxes to see which table(s) you do (or don't) have and leave Comments or Notes for yourself.								
Table Name (Manufacturer Year)	Feature(s) Description(s), comment(s) or extra information	Type 	VP Version	Table Author(s)	Table Version	Table Date	Needed ROM Name	Checkbox 	Comments or Notes 
Endless Summer (Original 2020)	See Installation instructions for PuP-folder download	EM	VPX	Makmak, Arngrim, Thalamus, SLAMT1LT, Tracy, Bord	Makmak, Arngrim, Thalamus, SLAMT1LT, Tracy, Bord	0.9.5		FALSE	
Escape from New York (Original 1984)	Retheme of 32assassin's Spy Hunter (Bally 1984)	SS	VPX	Shannon, 32assassin	Shannon, 32assassin	1.1		FALSE	
Escape from the Lost World (Bally 1988)		SS	VPX	Mlager8, Armyaviation, Scott, 32assassin, Bord, Thalamus, Cyberpez, JPSalas, Philippe, SliderPoint. Tom, Stat, Ray Pritchard	Mlager8, Armyaviation, Scott, 32assassin, Bord, Thalamus, Cyberpez, JPSalas, Philippe, SliderPoint. Tom, Stat, Ray Pritchard	1.3	esclwrld	FALSE	
Evel Knievel (Bally 1977)		SS	VPX	Hauntfreaks,32assassin,  Arngrim	Hauntfreaks,32assassin,  Arngrim	4.0.1	evelknie	FALSE	
Evel Knievel (Bally 1977)	Bigus MOD	SS	VPX	Bigus1, Hauntfreaks, Noah Fentz, Destruk, Allknowing2012, Freneticamnesic, Hmueck, Arngrim	Bigus1, Hauntfreaks, Noah Fentz, Destruk, Allknowing2012, Freneticamnesic, Hmueck, Arngrim	1.0	evelknie	FALSE	
Evil Dead (Original 2018)		SS	VPX	HorsePin, Dozer, Flupper	HorsePin, Dozer, Flupper	1.1.69	evildead	FALSE	
Evil Dead 2 (Original 2019)	Retheme of JPSalas's Iron Maiden (Stern 1982)	SS	VPX	Ivantba, JPSalas, MajorFrenchy	Ivantba, JPSalas, MajorFrenchy	1.0	ironmaid	FALSE	
Evil Dead 3 Army of Darkness (Original 2020)	Retheme of Junkyard Cats (Original 2012)	SS	VPX	Ivantba, Javier, Brendan Bailey	Ivantba, Javier, Brendan Bailey	1.0		FALSE	
Excalibur (Gottlieb 1988)	VP9 to VPX Conversion	SS	VPX	Rascal, Mfuegemann, Maralb, Whysnow, Gaspu,prob, Akiles50000, Fuzzel, JPSalas, Inkochnito, Arngrim	Rascal, Mfuegemann, Maralb, Whysnow, Gaspu,prob, Akiles50000, Fuzzel, JPSalas, Inkochnito, Arngrim	1.2	excalibr	FALSE	
Excalibur (Gottlieb 1988)	Bigus MOD	SS	VPX	Bigus1, Rascal, Mfuegemann, Francisco666	Bigus1, Rascal, Mfuegemann, Francisco666	1.1	excalibr	FALSE	
Excalibur (Gottlieb 1988)	FSS (Full Single Screen) MOD	SS	VPX	Morttis, Bigus1, Rascal, Mfugemann, Arconovum, Wildman	Morttis, Bigus1, Rascal, Mfugemann, Arconovum, Wildman	1.1.mod - rev.1.0 [D&N][CC][FSS][SS][10.6+]	excalibr	FALSE	
F-14 Tomcat (Williams 1987)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Ganjafarmer, 32assassin, Flupper	Arconovum, Ganjafarmer, 32assassin, Flupper	1.0 FSS Rev. R2.5	f14_l1	FALSE	
F-14 Tomcat (Williams 1987)		SS	VPX	Ganjafarmer, Flupper, Assassin32, Zany	Ganjafarmer, Flupper, Assassin32, Zany	1.0	f14_l1	FALSE	
Faces (Sonic 1976)		EM	VPX	Nestorgian	Nestorgian	1.1		FALSE	
Faeton (Juegos Populares 1985)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, JPSalas	Arconovum, JPSalas	1.0.1 FSS Rev. R2.5	faeton	FALSE	
Faeton (Juegos Populares 1985)		SS	VPX	JPSalas, Lighthouse, Arngrim	JPSalas, Lighthouse, Arngrim	1.0.3	faeton	FALSE	
Family Guy (Stern 2007)		SS	VPX	Ninuzzu, HauntFreaks, Diemonik, SliderPoint	Ninuzzu, HauntFreaks, Diemonik, SliderPoint	1.1.1	fg_1200af	FALSE	
Family Guy - Road To The North Pole (Original 2019)	Retheme of Sexy Girl (Arkon 1980)	SS	VPX	Stevegooner123, Xenonph, Wildman, Lizard	Stevegooner123, Xenonph, Wildman, Lizard	1.0	playboy	FALSE	
Far Cry 3 Blood Dragon (Original 2018)	Retheme of TRON-Classic (Original 2018)	SS	VPX	Ivantba, JPSalas, HauntFreaks, Hirez00, Xenonph	Ivantba, JPSalas, HauntFreaks, Hirez00, Xenonph	1.3		FALSE	
Far Out (Gottlieb 1974)		EM	VPX	Loserman76, GNance, Popotte, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	Loserman76, GNance, Popotte, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	1.0		FALSE	
Farfalla (Zaccaria 1983)		SS	VPX	Kiwi, JPSalas, Akiles50000, Arngrim	Kiwi, JPSalas, Akiles50000, Arngrim	1.0.0	farfalla	FALSE	
Farfalla (Zaccaria 1983)		SS	VPX	32assassin, Gtxjoe	32assassin, Gtxjoe	1.0	farfalla	FALSE	
Fast Draw (Gottlieb 1975)		EM	VPX	Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	1.0b		FALSE	
Fast Draw (Gottlieb 1975)		EM	VPX	Mfuegemann	Mfuegemann	1.4		FALSE	
Fathom (Bally 1981)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, UncleWilly, 43assassin, Vogliadicane	Arconovum, UncleWilly, 43assassin, Vogliadicane	1.2 FSS Rev R2.6	fathom	FALSE	
Fathom (Bally 1981)		SS	VPX	32assassin	32assassin	2.0	fathom	FALSE	
Fathom (Bally 1981)	LED MOD	SS	VPX	Vogliadicane, 32assassin, UncleWilly, HauntFreaks, Ninuzzu	Vogliadicane, 32assassin, UncleWilly, HauntFreaks, Ninuzzu	1.1	fathom	FALSE	
Fathom (Bally 1981)	Vintage MOD	SS	VPX	Vogliadicane, 32assassin, UncleWilly	Vogliadicane, 32assassin, UncleWilly	1.2	fathom	FALSE	
Fire Action (Taito do Brasil 1980)	Brazilian clone of Firepower (Williams 1980)	SS	VPX	JPSalas, Carlos Guizzo, Akiles5000, Pmax65	JPSalas, Carlos Guizzo, Akiles5000, Pmax65	2.0.0	fireact	FALSE	
Fire Action De Luxe (Taito do Brasil 1983)	Brazilian clone of Firepower (Williams 1980)	SS	VPX	JPSalas, Carlos Guizzo, Akiles5000, Pmax65	JPSalas, Carlos Guizzo, Akiles5000, Pmax65	2.0.0	fireactd	FALSE	
Fire Queen (Gottlieb 1977)		EM	VPX	BorgDog, Hauntfreaks, Bord	BorgDog, Hauntfreaks, Bord	2.0		FALSE	
Fire Queen (Gottlieb 1977)	FSS (Full Single Screen) MOD	EM	VPX	Arconovum, Vulcan, Dave Sanders, MaX, HauntFreaks, BorgDog, Arngrim	Arconovum, Vulcan, Dave Sanders, MaX, HauntFreaks, BorgDog, Arngrim	1.0 FSS Rev. R2.5		FALSE	
Fire! (Williams 1987)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, UncleWilly, Randr, DJRobX, Wrd1972, Bord, 32assassin, HauntFreaks, RustyCadores, nFozzy, Ninuzzu	Arconovum, UncleWilly, Randr, DJRobX, Wrd1972, Bord, 32assassin, HauntFreaks, RustyCadores, nFozzy, Ninuzzu	2.0 FSS Rev. 2.5	fire_l3	FALSE	
Fire! (Williams 1987)		SS	VPX	DJRobX, 32Assassin, UncleWilly, Randr, HauntFreaks, nFozzy, Ninuzzu, RustyCardores	DJRobX, 32Assassin, UncleWilly, Randr, HauntFreaks, nFozzy, Ninuzzu, RustyCardores	2.0	fire_l3	FALSE	
Fireball (Bally 1972)		EM	VPX	pinball58	pinball58	1.1		FALSE	
Fireball II (Bally 1981)		SS	VPX	Javier1515	Javier1515	1.3	fball_ii	FALSE	
Firecracker (Bally 1971)		EM	VPX	Loserman76, HauntFreaks	Loserman76, HauntFreaks	1.95		FALSE	
Firepower (Williams 1980)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, 3rdaxis, Slydog43, G5k, Ben Logan, Xzotic, SliderPoint	Arconovum, 3rdaxis, Slydog43, G5k, Ben Logan, Xzotic, SliderPoint	1.0 FSS Rev. R2.5	frpwr_c7	FALSE	
Firepower (Williams 1980)		SS	VPX	3rdaxis, G5K, Rothbauerw, Slydog43	3rdaxis, G5K, Rothbauerw, Slydog43	1.04	frpwr_b7	FALSE	
Firepower (Williams 1980)		SS	VPX	Wed21, Walamab, Noah, UncleRemus, HauntFreaks	Wed21, Walamab, Noah, UncleRemus, HauntFreaks	1.3	frpwr_c7	FALSE	
Firepower (Williams 1980)		SS	VPX	Walamab	Walamab	1.0.3	frpwr_c7	FALSE	
Firepower (Williams 1980)	Drop Target MOD	SS	VPX	DarthMarino, Wed21	DarthMarino, Wed21	1.0	frpwr_c7	FALSE	
Firepower II (Williams 1983)		SS	VPX	Walamab	Walamab	1.1	fpwr2_l2	FALSE	
Firepower vs. A.I. (Williams 1980)	1 Player vs Computer AI	SS	VPX	3rdaxis, G5K, Rothbauerw, Slydog43, DJRobX, MPT3k	3rdaxis, G5K, Rothbauerw, Slydog43, DJRobX, MPT3k	3.3.8	frpwr_c7	FALSE	
Fish Tales (Williams 1992)	Authentic MOD	SS	VPX	Ma1299, Pinball58, Bigus1, Melon, Loaded Weapon, AgentEighty6	Ma1299, Pinball58, Bigus1, Melon, Loaded Weapon, AgentEighty6	1.1	ft_l5	FALSE	
Fish Tales (Williams 1992)	Authentic MOD EBisLit (Graphical MOD)	SS	VPX	Sheltemke, Pinball58, Bigus1, EBisLit, Skitso, G5k	Sheltemke, Pinball58, Bigus1, EBisLit, Skitso, G5k	1.0	ft_l5	FALSE	
Fish Tales (Williams 1992)		SS	VPX	Pinball58, Tom Tower, Ninuzzu, PacDude, Melon, Loaded Weapon, ICPJuggla, Zany	Pinball58, Tom Tower, Ninuzzu, PacDude, Melon, Loaded Weapon, ICPJuggla, Zany	1.1	ft_l5	FALSE	
Fish Tales (Williams 1992)	Surround Sound MOD	SS	VPX	Pinball58, Tom Tower, Ninuzzu, PacDude, Melon, Loaded Weapon, ICPJuggla, Zany, RustyCardores	Pinball58, Tom Tower, Ninuzzu, PacDude, Melon, Loaded Weapon, ICPJuggla, Zany, RustyCardores	1.1	ft_l5	FALSE	
Fish Tales (Williams 1992)	Bigus MOD	SS	VPX	Bigus1, Pinball58, Melon, Loaded Weapon	Bigus1, Pinball58, Melon, Loaded Weapon	1.1	ft_l5	FALSE	
FJ (Hankin 1978)		SS	VPX	32assassin, Angrim	32assassin, Angrim	1.0	fjholden	FALSE	
Flash (Williams 1979)		SS	VPX	JPSalas	JPSalas	1.3.0	flash_l1	FALSE	
Flash (Williams 1979)		SS	VPX	JPSalas, HauntFreaks, RustyCardores,	JPSalas, HauntFreaks, RustyCardores,	1.2.0	flash_l1	FALSE	
Flash Gordon (Bally 1981)		SS	VPX	Rothbauerw	Rothbauerw	1.0	flashgdn	FALSE	
Flash Gordon (Bally 1981)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Rothbauerw,Cyberpez, Wrd1972, Sindbad, Scapino, Flupper, Wildman	Arconovum, Rothbauerw,Cyberpez, Wrd1972, Sindbad, Scapino, Flupper, Wildman	1.0 FSS Rev. R2.5	flashgdn	FALSE	
Flash Gordon (Bally 1981)	Sound MOD	SS	VPX	Xenonph, Rothbauerw, Cyberpez, Wrd1972, Sinbad, Scapino, Flupper, Allknowing2012, Gtxjoe, DJRobX, Stat, nFozzy, Scottacus, Slydog43	Xenonph, Rothbauerw, Cyberpez, Wrd1972, Sinbad, Scapino, Flupper, Allknowing2012, Gtxjoe, DJRobX, Stat, nFozzy, Scottacus, Slydog43	1.3	flashgdn	FALSE	
Flasher Domes Demo (Original 2020)		EM	VPX	Flupper	Flupper	2.2		FALSE	
Flight 2000 (Stern 1980)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Bord	Arconovum, Bord	2.0 FSS Rev. R2.5	flight2k	FALSE	
Flight 2000 (Stern 1980)		SS	VPX	HSM, JPSalas, Arngrim	HSM, JPSalas, Arngrim	1.1	flight2k	FALSE	
Flight 2000 (Stern 1980)		SS	VPX	Bord, JPSalas, Arngrim, Thalamus	Bord, JPSalas, Arngrim, Thalamus	2.0	flight2k	FALSE	
Flip a Card (Gottlieb 1970)		EM	VPX	Loserman76, HauntFreaks, GNance, Arngrim, JPSalas, Pinuck, BorgDog	Loserman76, HauntFreaks, GNance, Arngrim, JPSalas, Pinuck, BorgDog	1.0a		FALSE	
Flipper Fair (Gottlieb 1961)		EM	VPX	Loserman76, GNance	Loserman76, GNance	1.0		FALSE	
Flipper Football (Capcom 1996)		SS	VPX	32assassin, JPSalas, BorgDog	32assassin, JPSalas, BorgDog	1.0	ffv104	FALSE	
Flipper Football (Capcom 1996)	FSS (Full Single Screen) MOD	SS	VPX	Morttis, 32assassin, Arconovum	Morttis, 32assassin, Arconovum	1.0 - Rev. 1.0 [FSS]	ffv104	FALSE	
Flipper Pool (Gottlieb 1965)		EM	VPX	Loserman76, GNance	Loserman76, GNance	1.0		FALSE	
Flying Carpet (Gottlieb 1972)		EM	VPX	HauntFreaks, BorgDog	HauntFreaks, BorgDog	1.1		FALSE	
Flying Turns (Midway 1964)		EM	VPX	Rascal	Rascal	1.0		FALSE	
Football (Taito do Brasil 1979)		SS	VPX	JPSalas, Darquayle, Carlos Guizzo, Editoy, Culik, Fuzzel, Tio Italo	JPSalas, Darquayle, Carlos Guizzo, Editoy, Culik, Fuzzel, Tio Italo	2.0.0		FALSE	
Force II (Gottlieb 1981)		SS	VPX	Hsm, Rascal, Tab, Kristian, Inkochnito	Hsm, Rascal, Tab, Kristian, Inkochnito	1.1 1.1	forceii	FALSE	
Force II (Gottlieb 1981)	VP8 to VPX Conversion	SS	VPX	Rascal, Tab, Kristian, Inkochnito	Rascal, Tab, Kristian, Inkochnito	1.1	forceii	FALSE	
Four Million B.C. (Bally 1971)	FSS (Full Single Screen) MOD	EM	VPX	Arconovum, Scottacus, Bord, Slydog43, Kds70	Arconovum, Scottacus, Bord, Slydog43, Kds70	1.0 FSS Rev. R2.5		FALSE	
Four Million B.C. (Bally 1971)		EM	VPX	Scottacus, Bord, Slydog43, Kds70	Scottacus, Bord, Slydog43, Kds70	1.1		FALSE	
Four Seasons (Gottlieb 1968)		EM	VPX	Loserman76, Cyberpez, Bord	Loserman76, Cyberpez, Bord	1.0		FALSE	
Freddy A Nightmare on Elm Street (Gottlieb 1994)	Dark's MOD	SS	VPX	Dark, JPJ,Team PP, Arngrim, Unclewilly, Grizz, Hassanchop, Hauntfreaks, Rothbauerw, DJRobX, Thalamus, CarnyPriest	Dark, JPJ,Team PP, Arngrim, Unclewilly, Grizz, Hassanchop, Hauntfreaks, Rothbauerw, DJRobX, Thalamus, CarnyPriest	2.0	freddy	FALSE	
Freddy A Nightmare on Elm Street (Gottlieb 1994)	Siggis MOD	SS	VPX	Siggi, Jpj, HauntFreaks, Randr	Siggi, Jpj, HauntFreaks, Randr	1.1	freddy	FALSE	
Freddy A Nightmare on Elm Street (Gottlieb 1994)		SS	VPX	Jpj, Team PP, Arngrim, Unclewilly, Grizz, Hassanchop, Hauntfreaks, Neofr45, Flupper, Aetios, nFozzy, Chucky, JPSalas, Anthony Rocco Dimarco, Khomodo	Jpj, Team PP, Arngrim, Unclewilly, Grizz, Hassanchop, Hauntfreaks, Neofr45, Flupper, Aetios, nFozzy, Chucky, JPSalas, Anthony Rocco Dimarco, Khomodo	1.1b	freddy	FALSE	
Freddy A Nightmare on Elm Street (Gottlieb 1994)	FSS (Full Single Screen) MOD	SS	VPX	Morttis, Dark, Jipeji16, Team PP, Arconovum, HauntFreaks, Wildman, Basgeige	Morttis, Dark, Jipeji16, Team PP, Arconovum, HauntFreaks, Wildman, Basgeige	2.0.Darks.Mod - rev.1.0 [D&N][CC][FSS][DMD][10.6+]	freddy	FALSE	
Free Fall (Gottlieb 1974)		EM	VPX	Loserman76, GNance, HauntFreaks, BorgDog, JPSalas, Pinuck, Arngrim	Loserman76, GNance, HauntFreaks, BorgDog, JPSalas, Pinuck, Arngrim	1.0a		FALSE	
Freedom (Bally 1976)		EM	VPX	Loserman76, Allknowing2012, HauntFreaks, Wrd1972	Loserman76, Allknowing2012, HauntFreaks, Wrd1972	1.0a		FALSE	
Freedom (Bally 1976)		SS	VPX	Allknowing2012	Allknowing2012	1.0	freedom	FALSE	
Freefall (Stern 1981)		SS	VPX	JPSalas	JPSalas	1.1.0	freefall	FALSE	
Freefall (Stern 1981)	FSS (Full Single Screen) MOD	SS	VPX	Morttis, JPSalas, Arconovum, Darquayle	Morttis, JPSalas, Arconovum, Darquayle	1.1 - rev.1.0 [D&N][CC][FSS][SS][10.6+]	freefall	FALSE	
Friday the 13th (Original 2017)		SS	VPX	TheGhost787	TheGhost787	1.0		FALSE	
Friday the 13th Part II (Original 2019)	Retheme of Pharaoh (Williams 1981)	SS	VPX	Ivantba, 32assassin	Ivantba, 32assassin	1.0	pharo_l2	FALSE	
Frontier (Bally 1980)		SS	VPX	Bord	Bord	2.0	frontier	FALSE	
Frozen (Original 2016)		SS	VPX	Lodger	Lodger	1.1		FALSE	
Fun Fair (Gottlieb 1968)		EM	VPX	Loserman76, GNance	Loserman76, GNance	1.0		FALSE	
Fun Land (Gottlieb 1968)		EM	VPX	Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck, Arngrim	Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck, Arngrim	1.0		FALSE	
Fun Park (Gottlieb 1968)		EM	VPX	Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck, Arngrim	Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck, Arngrim	1.0		FALSE	
Fun-Fest (Williams 1973)		EM	VPX	PinPlayer	PinPlayer	1.2		FALSE	
Funhouse (Williams 1990)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Wrd1972	Arconovum, Wrd1972	1.1 FSS Rev. R2.5	fh_l9	FALSE	
Funhouse (Williams 1990)		SS	VPX	Wrd1972, JPSalas, Cyberpez, Rothbauerw, 32assassin, Dark, Ninuzzu, Vanlion, ClarkKent, Arngrim, Flupper, Schreibi34	Wrd1972, JPSalas, Cyberpez, Rothbauerw, 32assassin, Dark, Ninuzzu, Vanlion, ClarkKent, Arngrim, Flupper, Schreibi34	2.0c	fh_l9	FALSE	
Funhouse (Williams 1990)	DMD Mod	SS	VPX	Kellogs	Kellogs	DMD Mod 1.0	fh_l9	FALSE	
Future Spa (Bally 1979)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, JPSalas	Arconovum, JPSalas	1.0.0 FSS Rev. R2.5	futurspa	FALSE	
Future Spa (Bally 1979)		SS	VPX	JPSalas, Arngrim, StrangeLeo72, HauntFreaks	JPSalas, Arngrim, StrangeLeo72, HauntFreaks	1.0.1	futurspa	FALSE	
Galaxie (Gottlieb 1971)		EM	VPX	Loserman76, GNance	Loserman76, GNance	1.0		FALSE	
Galaxy (Stern 1980)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Bord	Arconovum, Bord	1.0 FSS Rev. R2.5	galaxy	FALSE	
Galaxy (Stern 1980)		SS	VPX	Bord, RC10Worlds, Randr, Arconovum	Bord, RC10Worlds, Randr, Arconovum	1.1	galaxy	FALSE	
Galaxy Play (CIC Play 1986)		SS	VPX	Mfuegemann, Akiles, Dark, GtxJoe	Mfuegemann, Akiles, Dark, GtxJoe	1.1	glxplay	FALSE	
Galaxy Quest (Original 2020)	Retheme of  JPSalas's Space Shuttle (Taito do Brasil 1984)	SS	VPX	Topper-2k, JPSalas, DopePope, Icekazim, John Hoagland	Topper-2k, JPSalas, DopePope, Icekazim, John Hoagland	1.0	sshuttle	FALSE	
Gargamel Park (Original 2017)		SS	VPX	JPSalas, HauntFreaks	JPSalas, HauntFreaks	1.2.1		FALSE	
Gay 90's (Williams 1970)		EM	VPX	Loserman76, Kees, Hauntfreaks, BorgDog, Zany	Loserman76, Kees, Hauntfreaks, BorgDog, Zany	2.0		FALSE	
Gemini (Gottlieb 1978)		EM	VPX	BorgDog, SliderPoint, HauntFreaks, Arngrim, Scottamus	BorgDog, SliderPoint, HauntFreaks, Arngrim, Scottamus	2.1		FALSE	
Gemini 2000 (Taito do Brasil 1982)		SS	VPX	JPSalas, Carlos Guizzo, Akiles5000, Pmax65	JPSalas, Carlos Guizzo, Akiles5000, Pmax65	2.0.0	gemini	FALSE	
Gemini 2000 (Taito do Brasil 1982)		SS	VPX	Exegeta	Exegeta	1.0	gemini	FALSE	
Genesis (Gottlieb 1986)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, JPSalas, nFozzy, Arngrim, ICPjuggla	Arconovum, JPSalas, nFozzy, Arngrim, ICPjuggla	1.1 FSS Rev. R2.6	genesis	FALSE	
Genesis (Gottlieb 1986)		SS	VPX	ICPjuggla	ICPjuggla	1.0	genesis	FALSE	
Genie (Gottlieb 1979)		SS	VPX	Bord, Rothbauerw, Arconovum, 32assassin, Jon Osborne	Bord, Rothbauerw, Arconovum, 32assassin, Jon Osborne	1.0	genie	FALSE	
Genie (Gottlieb 1979)	Bigus MOD	SS	VPX	Bigus1, 32assassin	Bigus1, 32assassin	1.1	genie	FALSE	
Genie (Gottlieb 1979)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, 32assassin, Francisco666, Fuzzel	Arconovum, 32assassin, Francisco666, Fuzzel	1.0 FSS Rev. R2.5	genie	FALSE	
Genie (Gottlieb 1979)		SS	VPX	32assassin, Francisco666, HauntedFreaks	32assassin, Francisco666, HauntedFreaks	1.0	genie	FALSE	
Ghostbusters (Original 2020)	Art MOD JP's Ghostbusters Slimer (Original 2017)	SS	VPX	Wpilot, JPSalas	Wpilot, JPSalas	1.0		FALSE	
Ghostbusters (Limited Edition) (Stern 2016)		SS	VPX					FALSE	
Ghosts 'n Goblins (Original 2018)	Retheme of Pink Panther (Gottlieb 1981)	SS	VPX	Ivantba, Bord	Ivantba, Bord	1.2	pnkpnthr	FALSE	
Giana Sisters (Original 2018)	Retheme of The Table With The Least Comprehensible Theme Ever (Original 2018)	SS	VPX	Ivantba, Wizball	Ivantba, Wizball	1.2		FALSE	
Gigi (Gottlieb 1963)		EM	VPX	Loserman76, GNance, Arngrim, JPSalas, Pinuck, HauntFreaks, BorgDog	Loserman76, GNance, Arngrim, JPSalas, Pinuck, HauntFreaks, BorgDog	1.0c		FALSE	
Gilligan's Island (Bally 1991)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Dark, Ben Logan, ICPjuggla, Mfuegemann, Zany	Arconovum, Dark, Ben Logan, ICPjuggla, Mfuegemann, Zany	1.3 FSS Rev. R2.5	gi_l9	FALSE	
Gilligan's Island (Bally 1991)		SS	VPX	Dark, Rothbauerw, nFozzy, DJRobX	Dark, Rothbauerw, nFozzy, DJRobX	1.3 Physics update 1.0	gi_l9	FALSE	
Gladiators (Gottlieb 1993)		SS	VPX	Kiwi	Kiwi	1.0.1	gladiatr	FALSE	
Godzilla (Sega 1998)		SS	VPX	Bigus1, 32assassin	Bigus1, 32assassin	1.1	godzilla	FALSE	
Godzilla (Sega 1998)	FSS (Full Single Screen) MOD	SS	VPX	Morttis, Bigus1, 32assassin, Schreibi34, Sheltemke, Arconovum	Morttis, Bigus1, 32assassin, Schreibi34, Sheltemke, Arconovum	1.1 - Rev 1.0 [FSS]	godzilla	FALSE	
Godzilla (Sega 1998)	Graphical MOD of Bigus & 32assassin's Godzilla (Sega 1998)	SS	VPX	Sheltemke, 32assassin, Bigus, Schreibi34, Bawouait, JPSalas	Sheltemke, 32assassin, Bigus, Schreibi34, Bawouait, JPSalas	1.1	godzilla	FALSE	
Goin' Nuts (Gottlieb 1983)		SS	VPX	Bord, Jmreedy, Thalamus, TheLoafer, Fuzzel	Bord, Jmreedy, Thalamus, TheLoafer, Fuzzel	1.0	goinnuts	FALSE	
Goin' Nuts (Gottlieb 1983)		SS	VPX	Fuzzel	Fuzzel	1.2	goinnuts	FALSE	
Gold Ball (Bally 1983)		SS	VPX	Kalavera3, Flying Dutchman, Destruk, Dboyrecords, Hmueck	Kalavera3, Flying Dutchman, Destruk, Dboyrecords, Hmueck	1.0	goldball	FALSE	
Gold Mine (Williams 1988)	Arcade - Bowler	SS	VPX	Rascal	Rascal	1.0	gmine_l2	FALSE	
Gold Rush (Williams 1971)	MOD of Loserman76 / -=Kees=- 's Jackpot (Williams 1971)	EM	VPX	Hsm, -=Kees=-, Loserman76	Hsm, -=Kees=-, Loserman76	1.0		FALSE	
Gold Strike (Gottlieb 1975)		EM	VPX	Loserman76, GNance, HauntFreaks, BorgDog, JPSalas, Pinuck, Arngrim	Loserman76, GNance, HauntFreaks, BorgDog, JPSalas, Pinuck, Arngrim	1.0a		FALSE	
Gold Wings (Gottlieb 1986)		SS	VPX	32assassin	32assassin	1.1	goldwing	FALSE	
Golden Arrow (Gottlieb 1977)		EM	VPX	BorgDog	BorgDog	2.1		FALSE	
Golden Axe (Original 2018)	Retheme of JPSalas's Conan (Rowamet 1983)	SS	VPX	Ivantba, JPSalas, Batch, Xenonph	Ivantba, JPSalas, Batch, Xenonph	2.0		FALSE	
Golden Birds (Original 2015)	Angry Birds MOD of Golden Arrow (Gottlieb 1977)	SS	VPX	BorgDog	BorgDog	2.0		FALSE	
Goldeneye (Sega 1996)		SS	VPX	Jipeji16, Pingod, UncleReamus, Destruk, The Trout, 32assassin, JPJ, Dark, Neo, Arngrim, Flupper, Rothbauerw, Chucky, Fleep, Knorr, Jpn Osborne, JPSalas, Neofr45, Chucky87, Rajo Joey, Thalamus, Davidcd13, Toxie	Jipeji16, Pingod, UncleReamus, Destruk, The Trout, 32assassin, JPJ, Dark, Neo, Arngrim, Flupper, Rothbauerw, Chucky, Fleep, Knorr, Jpn Osborne, JPSalas, Neofr45, Chucky87, Rajo Joey, Thalamus, Davidcd13, Toxie	1.4	gldneye	FALSE	
Goldeneye (Sega 1996)	FSS (Full Single Screen) MOD	SS	VPX	Morttis, Jipeji16, Arconovum, Chucky87	Morttis, Jipeji16, Arconovum, Chucky87	1.4 - rev.1.0 [D&N][CC][FSS][DMD][10.6+]	gldneye	FALSE	
Goldorak (Original 2017)		SS	VPX	Javier1515, Rom, Wild, JPSalas, HauntFreaks, Stat	Javier1515, Rom, Wild, JPSalas, HauntFreaks, Stat	1.01.1		FALSE	
GoldWing (Original 2018)		EM	VPX	Hsm, BorgDog	Hsm, BorgDog	1.0		FALSE	
Gorgar (Williams 1979)		SS	VPX	Fuzzel	Fuzzel	1.3.1	grgar_l1	FALSE	
Gork (Taito do Brasil 1983)		SS	VPX	JPSalas, Carlos Guizzo, Pmax65	JPSalas, Carlos Guizzo, Pmax65	2.0.0	gork	FALSE	
Gork (Taito do Brasil 1983)	FSS (Full Single Screen) MOD	SS	VPX	Morttis, JPSalas, Arconovum, Stat, Carlos Guizzo	Morttis, JPSalas, Arconovum, Stat, Carlos Guizzo	1.0 [D&N][CC][FSS][SS][10.6+]	gork	FALSE	
Gradius (Original 2017)		SS	VPX	Wizball	Wizball	1.2.1		FALSE	
Gran Domino (Gottlieb 1967)		EM	VPX	Loserman76, GNance	Loserman76, GNance	1.0		FALSE	
Grand Lizard (Williams 1986)		SS	VPX	3rdaxis, Slydog43, JPSalas, Rosve, SliderPoint, Ben Logan, GtxJoe, Thalamus, G5k, Vamprecords	3rdaxis, Slydog43, JPSalas, Rosve, SliderPoint, Ben Logan, GtxJoe, Thalamus, G5k, Vamprecords	1.5	grand_l4	FALSE	
