VPS 3.5 - List (VPX tables Only) -- Last updated: 0	You can download this sheet for Personal Usage and use the Checkboxes to see which table(s) you do (or don't) have and leave Comments or Notes for yourself.								
Table Name (Manufacturer Year)	Feature(s) Description(s), comment(s) or extra information	Type 	VP Version	Table Author(s)	Table Version	Table Date	Needed ROM Name	Checkbox 	Comments or Notes 
Aces & Kings (Williams 1970)	MOD of Kees's Aces & Kings (Williams 1970)	EM	VPX	Albert, -=Kees=-	Albert, -=Kees=-	1.0		FALSE	
Aces & Kings (Williams 1970)		EM	VPX	-=Kees=-	-=Kees=-	1.11		FALSE	
Aces High (Bally 1965)	4k MOD	EM	VPX	Dakarx, -=Kees=-	Dakarx, -=Kees=-	1.10		FALSE	
Aces High (Bally 1965)		EM	VPX	Mustang1961	Mustang1961	1.0		FALSE	
Aces High (Bally 1965)		EM	VPX	Kees	Kees	1.0		FALSE	
Adventures of Rocky and Bullwinkle and Friends (Data East 1993)		SS	VPX	Cyberpez, SliderPoint, Wrd, Roth, Dark, Zany, Fbx, nFozzy, DJRobX, RustyCardores	Cyberpez, SliderPoint, Wrd, Roth, Dark, Zany, Fbx, nFozzy, DJRobX, RustyCardores	1.0	rab_320	FALSE	
Adventures of Rocky and Bullwinkle and Friends (Data East 1993)		SS	VPX	Requiem, Zedonius	Requiem, Zedonius	1.0	rab_320	FALSE	
Adventures of Rocky and Bullwinkle and Friends (Data East 1993)		SS	VPX	Zedonius, RustyCardones	Zedonius, RustyCardones	1.0	rab_320	FALSE	
Aerosmith (Original 2019)	MOD of DarthMarino's Firepower (Williams 1980) and Siggi's Iron Maiden (Original 2019)	SS	VPX	Mussinger, Darth Marino, Siggi	Mussinger, Darth Marino, Siggi	1.1		FALSE	
Agents 777 (Game Plan 1984)		SS	VPX	HSM, Xenonph	HSM, Xenonph	1.0	agent777	FALSE	
Agents 777 (Game Plan 1984)		SS	VPX	Hmueck	Hmueck	1.0	agent777	FALSE	
Air Aces (Bally 1975)		EM	VPX	Bord, Updon, Scottacus	Bord, Updon, Scottacus	2.0		FALSE	
