Table Name (Manufacturer Year)	Manufacturer	Year	Theme	Player(s)	IPDB Number	Description(s)	Type	VP Version	Table URL	Table Author(s)	Table Version	Table Date
Guns N' Roses (Data East 1994)	Data East	1994	Celebrities - Licensed - Music	4	1100		SS	VPX	https://vpinball.com/VPBdownloads/	Team PP (NeoFR45, Aetios, Chucky87, Arngrim, JPJ), JPSalas, Knorr, HauntFreaks, Ninuzzu, Tom Tower, Bertie, Jens	1.08	2019-02-23
Guns N' Roses (Data East 1994)	Data East	1994	Celebrities - Licensed - Music	4	1100	Vintage Lighting MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Jamal1234, Team PP (NeoFR45, Aetios, Chucky87, Arngrim, JPJ), JP Salas, Knorr, HauntFreaks, Ninuzzu, Tom Tower, Thalamus, Bigus1	1.08 - MOD 1.6.2	2019-09-19
Guns N' Roses (Data East 1994)	Data East	1994	Celebrities - Licensed - Music	4	1100		SS	PM5	https://www.vpforums.org/index.php?app=downloads	Lord Hiryu, JP Salas, Teppottee, Batch, MarkRock76	1.2	2017-03-10
Guns N' Roses - [VR] (Data East 1994)	Data East	1994	Celebrities - Licensed - Music	4	1100	VR Version, VPVR, Minimal VR Room	SS	VR	https://vpinball.com/VPBdownloads/	Sixtoe, JPSalas, Team PP, Sheltemke	1.1	2020-07-03
Gyruss (Original 2012)	Original	2012					SS	VP9	https://www.vpforums.org/index.php?app=downloads	Rosve	1.1	2013-03-09
Half-Life (Original 2019)	Original	2019				Retheme of Dragon Ball Z The Pinball (Original 2019)	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Ivantba, Javier	1.0	2019-04-30
Halley Comet (Juegos Populares 1986)	Juegos Populares	1986	Outer Space	4	3936		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords	1.1	2016-01-06
Halloween (Original 2019)	Original	2019				Elvira inspired	SS	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Fastdraw	1.0.0	2019-10-19
Halloween Michael Myers Pinball Adventures (Original 2018)	Original	2018				Retheme of Stranger Things (Orbital 2017)	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Ivantba, Scottywic, Stat, TerryRed	1.3	2018-12-06
Hardbody (Bally 1987)	Bally	1987	Exercise - Body Building	4	1122		SS	VPX	https://vpinball.com/VPBdownloads/	Tom, Mlager8, 32assassin, Thalamus, Randr, Cyberpez, Wildman	1.3	2020-04-22
Hardbody (Bally 1987)	Bally	1987	Exercise - Body Building	4	1122		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, Kristian, Destruk	1.0	2014-11-04
Harlem Globetrotters On Tour (Bally 1979)	Bally	1979	Sports - Basketball - Licensed Theme	4	1125		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Dozer, JPSalas	1.0a	2018-06-07
Harlem Globetrotters On Tour (Bally 1979)	Bally	1979	Sports - Basketball - Licensed Theme	4	1125		SS	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas	1.2.0	2017-01-04
Harley Quinn (Original 2017)	Original	2017					SS	VPX	https://vpinball.com/VPBdownloads/	HauntFreaks, JPSalas, Ninuzzu, BorgDog	1.0	2017-11-27
Harley-Davidson (Bally 1991)	Bally	1991	Sports - Motorcycles - Motocross	4	1126	MOD available as a download option	SS	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, Siggi, StrangeLeo72, Draifet	1.0.2	2018-08-21
Harley-Davidson (Sega 1999)	Sega	1999	Licensed Theme - Motorcycles	6	4453		SS	PM5	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Edizzle, Freneticamnesic, Dark, Zany, Javier1515	1.1	2015-01-13
Harley-Davidson (Sega 1999)	Sega	1999	Licensed Theme - Motorcycles	6	4453		SS	VPX	https://vpinball.com/VPBdownloads/	Goldchicco, 32assassin, Edizzle, Batch, DJLunchBox, Arrestis, Elvinu, Arngrim, Wmpimentel	1.2	2020-08-12
Harley-Davidson (Sega 1999)	Sega	1999	Licensed Theme - Motorcycles	6	4453	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Morttis, Goldchicco, 32assassin, Arconovum	1.2 - rev.1.0 [D&N][CC][FSS][DMD][10.6+]	2020-09-18
Harmony (Gottlieb 1967)	Gottlieb	1967	Happiness - Singing	1	1127		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, GNance	1.0	2019-06-08
Harry Potter and the Goblet of Fire (Original 2020)	Original	2020	Fantasy	4		Read Installation instructions! Download ALL needed files! PinUP Player required!	SS	VPX	https://vpinball.com/VPBdownloads/	Scottywic, Tarcisio, Nailbuster, Rik, TerryRed, DJRobX, Fuzzel, VPX Team, MBPC Team, Flupper, JPSalas, Nick Collins, Did Crabtree, Matt Lager, Eric Meunier, Jason Rosenstiel, Thalamus, RustyCardores	0.52	2020-02-19
Harry Potter and the Goblet of Fire - [VR] (Original 2020)	Original	2020	Fantasy	4		VR Version, VPVR, Minimal VR Room	SS	VR	https://vpinball.com/VPBdownloads/	Sixtoe, Scottywic	1.0	2020-07-14
Harry Potter and the Silverball Dreams (Original 2011)	Original	2011					SS	VP9	https://www.vpforums.org/index.php?app=downloads	Neo	1.1.0	2012-02-21
Haunted House (Gottlieb 1982)	Gottlieb	1982	Adventure - Supernatural	4	1133	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Arconovum, Cyberpez, Bodydump, Wrd1972, Rothbauerw	1.0beta FSS Rev. R2.5	2018-11-15
Haunted House (Gottlieb 1982)	Gottlieb	1982	Adventure - Supernatural	4	1133		SS	VPX	https://vpinball.com/VPBdownloads/	Cyberpez, Bodydump, Wrd1972, Rothbauerw, Bord, Dark, Arconovum, DJRobX, RustyCardores	1.0	2018-10-28
Haunted House (Gottlieb 1982)	Gottlieb	1982	Adventure - Supernatural	4	1133		SS	VP9	https://www.vpforums.org/index.php?app=downloads	JPSalas, Rob046	1.1.0	2013-04-05
Haunted House (Gottlieb 1982)	Gottlieb	1982	Adventure - Supernatural	4	1133	Night MOD	SS	VP9	https://www.vpforums.org/index.php?app=downloads	Teppotee, JPSalas, Rob046	1.0	2013-04-05
Hawkman (Taito do Brasil 1983)	Taito do Brasil	1983		4	4512		SS	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, Carlos Guizzo, Tio Italo, Pmax65	2.0.0	2019-12-13
Hawkman (Taito do Brasil 1983)	Taito do Brasil	1983		4	4512	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Morttis, JPSalas, Arconovum, Wildman, Carlos Guizzo	2.0.0 - rev.1.0 [D&N][CC][FSS][SS][10.6+]	2020-09-07
Hawkman (Taito do Brasil 1983)	Taito do Brasil	1983		4	4512		SS	VPX	https://www.vpforums.org/index.php?app=downloads	32assassin	1.1	2017-08-13
Hawkman (Taito do Brasil 1983)	Taito do Brasil	1983		4	4512		SS	VP9	https://www.vpforums.org/index.php?app=downloads	LuvThatApex, Destruk	1.0.0	2009-12-01
Hawkman (Taito do Brasil 1983)	Taito do Brasil	1983		4	4512		SS	VP9				
He's Dead Jim (Original 2010)	Original	2010					SS	VP9	https://www.vpforums.org/index.php?app=downloads	Tii	1.0	2010-09-02
Hearts and Spades (Gottlieb 1969)	Gottlieb	1969	Cards - Gambling	1	1145		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, GNance, HauntFreaks, BorgDog, JPSalas, Pinuck, Arngrim	1.0	2018-03-10
Hearts and Spades (Gottlieb 1969)	Gottlieb	1969	Cards - Gambling	1	1145		EM	VP9	https://www.vpforums.org/index.php?app=downloads	GNance, Loserman76	1.0	2015-05-10
Hearts Gain (Inder 1971)	Inder	1971	Playing Cards	1	4406		EM	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, Akiles50000, Loserman76, Kiwi	1.1.0	2020-06-21
Heat Wave (Williams 1964)	Williams	1964	Beach - Swimming	1	1148		EM	VPX	https://vpinball.com/VPBdownloads/	DarthMarino, Duglis, Loserman76, Editoy, Arngrim, Bord	1.1	2018-09-08
Heat Wave (Williams 1964)	Williams	1964	Beach - Swimming	1	1148		EM	VP9	https://www.vpforums.org/index.php?app=downloads	DarthMarino, Duglis, Loserman76, Editoy, Arngrim	2.0.0	2016-10-07
Heavy Fire (Original 2020)	Original	2020	War	4		Based on 3rdaxis's Firepower (Williams 1980)	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Onemanproject	1.0	2020-08-21
Heavy Metal (Rowamet 1981)	Rowamet	1981	Fantasy	4	5175		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords	1.0	2014-11-13
Heavy Metal (Rowamet 1981)	Rowamet	1981	Fantasy	4	5175	Music MOD	SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, Destruk, Tab, Maloti, Dox	1.0	2016-03-10
Heavy Metal (Rowamet 1981)	Rowamet	1981	Fantasy	4	5175	FSS (Full Single Screen) included - Check download page's information for music URL 	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Wiesshund, Destruk, Cujopb, Dboyrecords, JPSalas, Rothbauerw, Ninuzzu, 32assassin, Arngrim, Stevegooner123	1.3.5	2020-09-18
Heavy Metal Meltdown (Bally 1987)	Bally	1987	Music	4	1150		SS	VPX	https://www.vpforums.org/index.php?app=downloads	32assassin, Javier1515	1.0	2016-01-29
Heavy Metal Meltdown (Bally 1987)	Bally	1987	Music	4	1150	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Morttis, 32assassin, Javier1515, Arconovum	1.0 - rev. 1.0 [FSS]	2020-07-20
Heavy Metal Meltdown (Bally 1987)	Bally	1987	Music	4	1150	Fullscreen MOD	SS	VP9	https://www.vpforums.org/index.php?app=downloads	HauntFreaks, Batch	2.3	2015-08-30
Heineken (Original 2020)	Original	2020		4		Retheme of JPSalas Nitro Ground Shaker (Bally 1980)	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Davor Lipovac, JPSalas, Stevegooner123, HiRez00	1.0	2020-04-29
Hercules (Atari 1979)	Atari	1979	Fantasy - Myth and Legend	4	1155		SS	VPX	https://vpinball.com/VPBdownloads/	Randr	1.6	2019-11-01
Hextech (Original 2016)	Original	2016					SS	VPX	https://www.vpforums.org/index.php?app=downloads	Neo	1.0	2016-05-27
Hi-Diver (Gottlieb 1959)	Gottlieb	1959			1165		EM	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, Stat, Strangeleo76	1.0.0	2019-10-15
Hi-Lo (Gottlieb 1969)	Gottlieb	1969	Cards - Gambling	1	1184		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, GNance	1.0	2019-06-08
Hi-Lo Ace (Bally 1973)	Bally	1973	Cards - Gambling	1	1187		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, Tom, Fuzzi23, Editoy, Druadic, HauntFreaks	1.0b	2020-07-10
Hi-Score Pool (Chicago Coin 1971)	Chicago Coin	1971	Billiards	2	1161		EM	VPX	https://vpinball.com/VPBdownloads/	BorgDog, Stat, HauntFreaks, PinballShawn	1.21	2019-06-06
High Hand (Gottlieb 1973)	Gottlieb	1973	Cards - Gambling	1	1173		EM	VPX	https://www.vpforums.org/index.php?app=downloads	Loserman76, GNance, Arngrim, JPSalas, Pinuck, HauntFreaks, BorgDog, Chris Aguilar	1.0b	2018-03-14
High Hand (Gottlieb 1973)	Gottlieb	1973	Cards - Gambling	1	1173		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Loserman76, GNance, Arngrim	2.0	2017-01-14
High Roller Casino (Stern 2001)	Stern	2001	Gambling	4	4502		SS	VPX	https://vpinball.com/VPBdownloads/	DJRobX, Knorr, Destruk, Tab, Bmiki75, nFozzy, Rothbauerw, Ninuzzu, JPSalas, Nailbuster, Kiwi, Arngrim, Thalamus, Bigus1	1.1	2020-02-14
High Roller Casino (Stern 2001)	Stern	2001	Gambling	4	4502	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Morttis, DJRobX, Dids666, Arconovum	1.1 - Rev. 1.0 [FSS]	2020-08-08
High Roller Casino (Stern 2001)	Stern	2001	Gambling	4	4502		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Bmiki75	1.0.2	2011-12-24
High Roller Casino - [VR] (Stern 2001)	Stern	2001	Gambling	4	4502	VR Version, VPVR, Minimal VR Room	SS	VR	https://vpinball.com/VPBdownloads/	Sixtoe, DJRobX, Dids666	1.0	2020-06-23
High Seas (Gottlieb 1976)	Gottlieb	1976	Adventure - Pirates	1	1175		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, GNance	1.0	2019-06-08
High Speed (Williams 1986)	Williams	1986	Cops - Driving - Police - Speeding	4	1176	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Arconovum, 32assassin, Flupper, Krugger99, nFozzy, DJRobX, Bord, JPSalas, Chokee	1.1 FSS Rev. R2.5	2019-01-17
High Speed (Williams 1986)	Williams	1986	Cops - Driving - Police - Speeding	4	1176	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Morttis, Chokeee, 32assasin, Flupper1, Krugger99, nFozzy, Arconovum, Darqyuayle	1.4.mod - rev.1.0 [D&N][CC][FSS][SS][10.6+]	2020-09-01
High Speed (Williams 1986)	Williams	1986	Cops - Driving - Police - Speeding	4	1176		SS	VPX	https://www.vpforums.org/index.php?app=downloads	32assassin	2.0	2017-01-12
High Speed (Williams 1986)	Williams	1986	Cops - Driving - Police - Speeding	4	1176	Mod of 32assassin's High Speed (Williams 1986)	SS	VPX	https://vpinball.com/VPBdownloads/	Chokeee, 32assassin, Flupper, Krugger99, nFozzy, DJRobX, Bord, JPSalas, Ninuzzu, 3rdaxis, Draifet, SliderPoint, Fleep	1.4	2020-06-29
High Speed - [VR] (Williams 1986)	Williams	1986	Cops - Driving - Police - Speeding	4	1176	VR Version, VPVR, VR Room	SS	VR	https://vpinball.com/VPBdownloads/	Rawd, 32assassin, Walter Whitmer, Caligula, DJRobX, Rawnei, Randy Davis	1.0.0	2020-06-23
Highlander (Original 2020)	Original	2020				Graphics MOD of Sonic The Hedgehog 2 (Original 2005)	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Ivantba, Javier, Pinwizkid	1.0	2020-06-01
Hit the Deck (Gottlieb 1978)	Gottlieb	1978		1	1201		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, GNance, Chris Aguilar, HauntFreaks, BorgDog, JPSalas, Pinuck, Arngrim	1.0	2018-04-24
Hit the Deck (Gottlieb 1978)	Gottlieb	1978		1	1201		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Rosve, JPSalas, Eala Dubh Sidhe, Flying Dutchman	1.0.0	2011-10-14
Hoe Down (Allied Leisure 1978)	Allied Leisure	1978	Music - Singing - Dancing	4	1252		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, Bad Crc	1.1	2014-12-03
Hokus Pokus (Bally 1976)	Bally	1976	Entertainment - Magic	2	1206		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, GNance, Wrd1972	1.0	2019-06-21
Hokus Pokus (Bally 1976)	Bally	1976	Entertainment - Magic	2	1206		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Sabbat	1.0	2011-01-01
Hollywood Heat (Gottlieb 1986)	Gottlieb	1986	Fictional	4	1219		SS	VPX	https://vpinball.com/VPBdownloads/	BorgDog, Bord, SliderPoint, Rothbauerw, Ninuzzu, nFozzy, Dark, HauntFreaks	1.0	2017-12-03
Hollywood Heat (Gottlieb 1986)	Gottlieb	1986	Fictional	4	1219		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Destruk	1.0.0	2009-09-06
Home Alone (Original 2019)	Original	2019		4		Retheme of Sexy Girl (Arkon 1980)	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Stevegooner123, Xenonph, Wildman, Lizard	1.0	2019-12-13
Home Run (Gottlieb 1971)	Gottlieb	1971	Sports - Baseball	1	1224		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76	1.0	2019-03-05
Honey (Williams 1972)	Williams	1972	Girls - Women - Romance	4	1230		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Starman	1.0.0	2011-10-09
Hook (Data East 1992)	Data East	1992	Licensed Theme - Pirates - Fictional	4	1233	Fullscreen Bigus MOD	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Bigus1, Javier1515	1.3	2020-07-08
Hook (Data East 1992)	Data East	1992	Licensed Theme - Pirates - Fictional	4	1233	Fullscreen Bigus MOD	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Bigus1, Javier1515, Dark	2.0	2020-08-22
Hook (Data East 1992)	Data East	1992	Licensed Theme - Pirates - Fictional	4	1233	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Arconovum, Javier1515, Dark, Akiles, Zani, Cesar Emanuel, Dev Team, JPSalas	1.00 FSS Rev. R2.5	2018-11-18
Hook (Data East 1992)	Data East	1992	Licensed Theme - Pirates - Fictional	4	1233		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Javier1515, Dark, Akilles, Cesar Emanuel, Dev Team, JPSalas	1.01	2017-09-05
Hook (Data East 1992)	Data East	1992	Licensed Theme - Pirates - Fictional	4	1233		SS	PM5	https://www.vpforums.org/index.php?app=downloads	Sandro, Javier1515	1.0	2016-06-02
Hook - [VR] (Data East 1992)	Data East	1992	Licensed Theme - Pirates - Fictional	4	1233	VR Version, VPVR, Minimal VR Room	SS	VR	https://vpinball.com/VPBdownloads/	Sixtoe, Javier1515, Dark	1.0	2020-08-31
Hoops (Gottlieb 1991)	Gottlieb	1991	Sports - Basketball	4	1235		SS	VPX	https://vpinball.com/VPBdownloads/	Kalavera3, Destruk, Tab, 32assassin, Roccodimarco	1.3	2018-08-08
Hoops (Gottlieb 1991)	Gottlieb	1991	Sports - Basketball	4	1235		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Vanblaricom0, Tab, Destruk	1.0.0	2011-03-25
Hot Ball (Taito do Brasil 1979)	Taito do Brasil	1979		4	4665		SS	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, Poppotte, Editoy	2.0.0	2019-12-13
Hot Ball (Taito do Brasil 1979)	Taito do Brasil	1979		4	4665	Mod of JPSalas's Eight Bally (Bally 1978)	SS	VPX	https://vpinball.com/VPBdownloads/	Editoy, Carlos Guizzo, Tio Italo, JPSalas	1.1	2018-08-26
Hot Doggin' (Bally 1980)	Bally	1980	Sports - Skiing	4	1243		SS	VPX	https://vpinball.com/VPBdownloads/	32assassin, Bodydump	1.0.2	2018-05-26
Hot Doggin' (Bally 1980)	Bally	1980	Sports - Skiing	4	1243	Bigus MOD	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Bigus1, Bodydump, 32assassin, Pin-Pete	1.4	2020-01-15
Hot Doggin' (Bally 1980)	Bally	1980	Sports - Skiing	4	1243		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Bodydump	1.1	2014-11-05
Hot Hand (Stern 1979)	Stern	1979	Cards - Gambling	4	1244		SS	VPX	https://vpinball.com/VPBdownloads/	Tom, Bord, BorgDog, Gtxjoe, Thalamus, 32assassin, Destruk, Jak54	1.0	2019-04-28
Hot Hand (Stern 1979)	Stern	1979	Cards - Gambling	4	1244		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Tamoore	1.1	2012-01-16
Hot Line (Williams 1966)	Williams	1966	Sports - Fishing	1	1245		EM	VPX	https://www.vpforums.org/index.php?app=downloads	-=Kees=-, Leon Spalding	1.00	2019-06-29
Hot Line (Williams 1966)	Williams	1966	Sports - Fishing	1	1245	Fullscreen / Backglass (FS/B2S) MOD	EM	VPX	https://www.vpforums.org/index.php?app=downloads	Loserman76, -=Kees=-	1.1	2019-06-30
Hot Shot (Gottlieb 1973)	Gottlieb	1973	Billiards	4	1247		EM	VPX	https://vpinball.com/VPBdownloads/	WED21, Zany, JPSalas, GTXJoe, Mfuegemann, Loserman78, GNance, Mike Farmer, Flupper, HauntFreaks, Kds70	1.5.1	2020-03-25
Hot Shot (Gottlieb 1973)	Gottlieb	1973	Billiards	4	1247		EM	VPX	https://www.vpforums.org/index.php?app=downloads	Loserman76, GNance, Mike Farmer, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	1.0	2017-12-25
Hot Shot (Gottlieb 1973)	Gottlieb	1973	Billiards	4	1247		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Loserman76, Gnance, Mike Garmer, Arngrim	3.0	2015-08-23
Hot Shots (Gottlieb 1989)	Gottlieb	1989	Circus - Carnival	4	1248		SS	VPX	https://vpinball.com/VPBdownloads/	Shannon, Randr, Flupper, Bord, BorgDog, Rascal, Rothbauerw	1.0	2019-07-16
Hot Shots (Gottlieb 1989)	Gottlieb	1989	Circus - Carnival	4	1248	VP8 to VPX Conversion	SS	VPX	https://vpinball.com/VPBdownloads/	Rascal, Dboyrecords, Destruk, MNPG	1.1	2019-01-25
Hot Shots (Gottlieb 1989)	Gottlieb	1989	Circus - Carnival	4	1248		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, Destruk, MNPG	1.0	2014-12-17
Hot Tip (Williams 1977)	Williams	1977	Sports - Horse Racing	4	3163		SS	VPX	https://vpinball.com/VPBdownloads/	Schreibi34, Herweh, 32assassin, Poppote, Bord, BorgDog, Thalamus	1.0	2019-12-01
Hot Tip (Williams 1977)	Williams	1977	Sports - Horse Racing	4	3163		SS	VPX	https://www.vpforums.org/index.php?app=downloads	32assassin	3.3	2017-09-20
Hot Tip (Williams 1977)	Williams	1977	Sports - Horse Racing	4	3163	B.O.L. (Better Obstructed Light) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Schreibi34, 32assassin, HauntFreaks, Poppote, GtxJoe	2.1	2017-12-10
Hot Wheels (Zaccaria 1979)	Zaccaria	1979	Auto Racing	4	3164		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords	1.0	2014-12-02
House of Diamonds (Zaccaria 1978)	Zaccaria	1978	Cards - Gambling	4	3165		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Hsm, Destruk, Mfuegemann, 32assassin, Kiwi, Greynurse, JPSalas	1.0	2019-10-26
Howzat!, Dennis Lillee's (Hankin 1980)	Hankin	1980	Sports - Cricket	4	3909		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, Aussie34, Tom, Destruk	1.1	2014-12-29
Humpty Dumpty (Gottlieb 1947)	Gottlieb	1947	Fictional Characters	1	1254		EM	VPX	https://vpinball.com/VPBdownloads/	Randr	3.0	2016-06-09
Hurricane (Williams 1991)	Williams	1991	Circus - Carnival	4	1257		SS	VPX	https://vpinball.com/VPBdownloads/	Herweh, OldSkoolGamer, ICPjuggla, JimmyFingers, Koadic, Cosmic80, Wrd1972, Flupper, ClarkKent, Dark, nFozzy, Knorr, 32assassin, SliderPoint, Dark, Ninuzzu, DJRobX, Rothbauerw, JPSalas, Kiwi, tttttwii, Westworld and Thalamus	1.0.1	2019-05-03
Hurricane (Williams 1991)	Williams	1991	Happiness - Circus - Carnival	4	1257		SS	VP9	https://www.vpforums.org/index.php?app=downloads	ICPjuggla, Tab, JimmyFingers, OldskoolGamer, Koadic	1.1.1	2013-11-24
Hustler (LTD 1980)	LTD	1980					EM	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, Stat, Joey2001, Carlos Guizzo	1.0.0	2019-05-11
Hyperball (Williams 1981)	Williams	1981	Outer Space - Fantasy	2	3169	Analog Controls Version	SS	VPX	https://vpinball.com/VPBdownloads/	DarthMarino, Lizard	2.1	2020-09-28
Hyperball (Williams 1981)	Williams	1981	Outer Space - Fantasy	2	3169		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Lizard	1.0	2017-04-09
I Dream of Jeannie Pinball (Original 2019)	Original	2019	Cartoon	4		Mod of Genie (Gottlieb 1979)	SS	VPX	https://vpinball.com/VPBdownloads/	CryptDoctor21, Xenonph, 32assassin, HauntFreaks, Fuzzel, Darquayle	1.0	2019-03-30
Ice Cold Beer (Taito 1983)	Taito	1983					EM	VPX	https://vpinball.com/VPBdownloads/	32assassin, Mfuegemann, Aldiode, Zany, Gtxjoe	0.9	2019-08-01
Ice Cold Beer (Taito 1983)	Taito	1983					EM	VP9	https://www.vpforums.org/index.php?app=downloads	Mfuegemann	1.5	2016-12-29
Ice Cold Kong (Original 2015)	Original	2015				Recreation of Ice Cold Beer (Taito 1983)	EM	VP9	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	RidicRick25	1.0.0	2017-04-21
Ice Fever (Gottlieb 1985)	Gottlieb	1985	Sports - Hockey	4	1260		SS	VPX	https://vpinball.com/VPBdownloads/	Tom, BorgDog, Ocd_pinball, Bord, Thalamus, Arngrim, Wildman	1.2	2019-11-17
Ice Fever (Gottlieb 1985)	Gottlieb	1985	Sports - Hockey	4	1260	VP9 to VPX Conversion	SS	VPX	https://vpinball.com/VPBdownloads/	Rascal, Destruk, Itchigo, Lolo	1.1	2019-01-25
Ice Fever (Gottlieb 1985)	Gottlieb	1985	Sports - Hockey	4	1260		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Moogster66, Itchigo, Wildman	1.0.0	2011-04-23
Impacto (Recreativos Franco 1975)	Recreativos Franco	1975		1	4868		EM	VP9	https://www.vpforums.org/index.php?app=downloads	LuvThatApex, Lucasbuck	1.0.1	2011-12-03
Independence Day (Sega 1996)	Sega	1996	Outer Space - Licensed Theme - Action Movie	6	3878	Bigus MOD	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Bigus1, DevaL, Destruk, Nealtron, Batch	1.0	2020-05-23
Independence Day (Sega 1996)	Sega	1996	Outer Space - Licensed Theme - Action Movie	6	3878		SS	VPX	https://vpinball.com/VPBdownloads/	Goldchicco, Destruk, Nealtron, DevaL, 32assassin, JPSalas, Francisco666, Douglas Brian Rumble, Jasiel Estrada, Nick Doran, Bladeof, Thalamus, Chucky87, DJLunchBox	2.0	2020-06-05
Independence Day (Sega 1996)	Sega	1996	Outer Space - Licensed Theme - Action Movie	6	3878	LED MOD, MOD Of Goldchicco's Independence Day (Sega 1996)	SS	VPX	https://vpinball.com/VPBdownloads/	Goldchicco, Destruk, Nealtron, DevaL, 32assassin, JPSalas, Francisco666, Douglas Brian Rumble, Jasiel Estrada, Nick Doran	1.0	2020-07-26
Independence Day (Sega 1996)	Sega	1996	Outer Space - Licensed Theme - Action Movie	6	3878		SS	VPX	https://www.vpforums.org/index.php?app=downloads	DevaL, Destruk, Nealtron	1.0	2020-04-17
Independence Day (Sega 1996)	Sega	1996	Outer Space - Licensed Theme - Action Movie	6	3878		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Nealtron	2.2	2014-09-20
Indiana Jones (Stern 2008)	Stern	2008	Licensed Theme - Movie - Myth and Legend	4	5306	Hanibals 4k MOD	SS	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Hanibal2001, GLX, GtxJoe, HighInder00	2.5	2018-02-28
Indiana Jones (Stern 2008)	Stern	2008	Licensed Theme - Movie - Myth and Legend	4	5306	Bigus MOD	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Bigus1, Hanibal2001, Freneticamnesic, HighInder00, Glxb	1.0	2020-09-01
Indiana Jones (Stern 2008)	Stern	2008	Licensed Theme - Movie - Myth and Legend	4	5306		SS	PM5	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Freneticamnesic	1.1	2016-02-13
