Table Name (Manufacturer Year)	Manufacturer	Year	Theme	Player(s)	IPDB Number	Description(s)	Type	VP Version	Table URL	Table Author(s)	Table Version	Table Date
AC-DC (Premium) - [VR] (Stern 2012)	Stern	2012	Licensed Theme - Music	4	5775	VR Version, VPVR, VR Room - Gear323 Version	SS	VR	https://vpinball.com/VPBdownloads/	Gear323, Ninuzzu, 3rdaxis, Caligula, Drhotwing1	1.0	2020-01-14
AC-DC (Premium) - [VR] (Stern 2012)	Stern	2012	Licensed Theme - Music	4	5775	VR Version, VPVR, VR Room - Drhotwing1 Version	SS	VR	https://vpinball.com/VPBdownloads/	Drhotwing1, 3rdaxis, Ninuzzu	1.1	2020-01-07
AC-DC (Pro Vault Edition) (Stern 2017)	Stern	2017	Licensed Theme - Music	4	6439		SS	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Ninuzzu, Dark, Knorr, Rusty Cardores, Rys, Peter J, Javier	1.0	2019-03-10
AC-DC (Pro) (Stern 2012)	Stern	2012	Licensed Theme - Music	4	5767		SS	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Ninuzzu, Dark, Knorr, Rusty Cardores, Rys, Peter J, Javier	1.0	2019-03-10
AC-DC Back In Black (Limited Edition) (Stern 2012)	Stern	2012	Licensed Theme - Music	4	5777	Helen MOD option	SS	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Ninuzzu, Javier15, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Rom, Zedonius	1.5	2019-03-10
Accept (Germany) (Original 2019)	Original	2019	Music			Retheme of Algar (Williams 1980)	SS	VPX	https://vpinball.com/VPBdownloads/	Batch, Thalamus, Kalavera. JPSalas, Xenonph, Flupper, Kiwi, RetroBash, Zanny	1.1	2020-06-18
Ace High (Gottlieb 1957)	Gottlieb	1957	Cards - Gambling	1	7		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Baloo42, Furio, Shadowclassics	1.3	2015-05-20
Ace of Speed (Original 2019)	Original	2019		4		Herweh's Mousin' Around! (Bally 1989)	SS	VPX	https://vpinball.com/VPBdownloads/	Mussinger, Herweh, David Vicente, David Maldonado, JPJ, Scottywic, NailBuster, Rik Laubach, Vero, Vogliadicane	1.0	2019-11-06
Ace of Speed - [VR] (Original 2019)	Original	2019		4		VR Version, VPVR, VR Room	SS	VR	https://vpinball.com/VPBdownloads/	Takut, Mussinger, Rawd, Randy Davis, Caligula, Rawnei	1.1	2020-08-05
Ace Ventura - Pet Detective (Original 2019)	Original	2019		4		Retheme of JPSalas's Speed Test	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Ivantba, JPSalas	1.0	2019-08-25
Aces & Kings (Williams 1970)	Williams	1970	Cards - Gambling	4	11	MOD of Kees's Aces & Kings (Williams 1970)	EM	VPX	https://www.vpforums.org/index.php?app=downloads	Albert, -=Kees=-	1.0	2020-03-09
Aces & Kings (Williams 1970)	Williams	1970	Cards - Gambling	4	11		EM	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	-=Kees=-	1.11	2019-07-20
Aces High (Bally 1965)	Bally	1965	Gambling - Poker - Riverboat	4	9	4k MOD	EM	VPX	https://www.vpforums.org/index.php?app=downloads	Dakarx, -=Kees=-	1.10	2020-05-25
Aces High (Bally 1965)	Bally	1965	Gambling - Poker - Riverboat	4	9		EM	VPX	https://www.vpforums.org/index.php?app=downloads	Mustang1961	1.0	2017-03-20
Aces High (Bally 1965)	Bally	1965	Gambling - Poker - Riverboat	4	9		EM	VPX	https://www.vpforums.org/index.php?app=downloads	Kees	1.0	2016-08-15
Action (Chicago Coin 1969)	Chicago Coin	1969	Sports - Auto Racing	1	15		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, Stat, Eduguitar72	1.0	2016-05-13
Adventures of Rocky and Bullwinkle and Friends (Data East 1993)	Data East	1993	Cartoon	4	23		SS	VPX	https://vpinball.com/VPBdownloads/	Cyberpez, SliderPoint, Wrd, Roth, Dark, Zany, Fbx, nFozzy, DJRobX, RustyCardores	1.0	2019-09-20
Adventures of Rocky and Bullwinkle and Friends (Data East 1993)	Data East	1993	Cartoon	4	23		SS	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Requiem, Zedonius	1.0	2017-06-08
Adventures of Rocky and Bullwinkle and Friends (Data East 1993)	Data East	1993	Cartoon	4	23		SS	VPX	See Spreadsheet	Zedonius, RustyCardones	1.0	
Adventures of Rocky and Bullwinkle and Friends (Data East 1993)	Data East	1993	Cartoon	4	23		SS	PM5	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Javier15	1.3b	2014-12-30
Aerosmith (Original 2019)	Original	2019				MOD of DarthMarino's Firepower (Williams 1980) and Siggi's Iron Maiden (Original 2019)	SS	VPX	https://vpinball.com/VPBdownloads/	Mussinger, Darth Marino, Siggi	1.1	2019-08-31
Agents 777 (Game Plan 1984)	Game Plan	1984	Cartoon - Crime	4	26		SS	VPX	https://www.vpforums.org/index.php?app=downloads	HSM, Xenonph	1.0	2018-04-27
Agents 777 (Game Plan 1984)	Game Plan	1984	Cartoon - Crime	4	26		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Hmueck	1.0	2015-12-24
Agents 777 (Game Plan 1984)	Game Plan	1984	Cartoon - Crime	4	26		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Xenonph, Dboyrecords, Eula Dubh Sidhe, Destruk, Hmueck	1.1	2018-01-08
Air Aces (Bally 1975)	Bally	1975	Adventure - Aviation - Combat - Military - Warfare	4	28		EM	VPX	https://vpinball.com/VPBdownloads/	Bord, Updon, Scottacus	2.0	2019-04-30
Airborne (Capcom 1996)	Capcom	1996	Aviation	4	3783		SS	VPX	https://vpinball.com/VPBdownloads/	Robbo43, DCrosby, Tab, Destruk, Bodydump, JPSalas, Ninuzzu, UncleWilly, Dark, nFozzy, Zany, Flupper	1.0	2020-05-08
Airborne (Capcom 1996)	Capcom	1996	Aviation	4	3783	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Morttis, Robbo43, DCrosby, Arconovum, 32assassin	1.0 - rev.1.1 [D&N][CC][FSS][DMD][10.6+]	2020-08-24
Airborne (Capcom 1996)	Capcom	1996	Aviation	4	3783		SS	VP9	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Bodydump, JimmyFingers	1.0	2013-12-13
Airborne Avenger (Atari 1977)	Atari	1977	Adventure - Combat	4	33		SS	VPX	https://vpinball.com/VPBdownloads/	DarthMarino, Destruk, John Shepherd, Dboyrecords, BlackPredator72, 32assassin	1.4	2020-08-31
Airborne Avenger (Atari 1977)	Atari	1977	Adventure - Combat	4	33		SS	VP9	https://www.vpforums.org/index.php?app=downloads	DarthMarino, Destruk, John Shepherd, Dboyrecords, BlackPredator72	1.0.1	2016-08-24
Airport (Gottlieb 1969)	Gottlieb	1969	Travel	2	35		EM	VPX	https://www.vpforums.org/index.php?app=downloads	Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	1.0a	2017-12-26
Airport (Gottlieb 1969)	Gottlieb	1969	Travel	2	35		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Loserman76, GNance, Arngrim	2.0	2016-05-24
Airwolf (Original 2020)	Original	2020				Mega MOD	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Chucky87, Ivantba, JPSalas, JPJ, JLouLou	1.1	2020-04-03
